title,authors,year,journal,wosId
"Distribution and abundance of elkhorn coral, Acropora palmata, and prevalence of White-Band disease at Buck Island Reef National Monument, St. Croix, US Virgin Islands","Mayor, PA; Rogers, CS; Hillis-Starr, ZM",2006,CORAL REEFS,WOS:000237292800015
Noah's Ark for the threatened Elkhorn coral Acropora palmata,"Petersen, D; Laterveer, M; Schick, M",2008,CORAL REEFS,WOS:000258085900035
The Elkhorn Coral Acropora palmata is coming back to the Belize barriel Reef,"Macintyre, IG; Toscano, MA",2007,CORAL REEFS,WOS:000251579300003
"High densities of the elkhorn coral Acropora palmata in Cayo de Agua, Archipelago Los Roques National Park, Venezuela","Zubillaga, AL; Bastidas, C; Cróquer, A",2005,CORAL REEFS,WOS:000227742400013
"Assessment of Elkhorn Coral Populations and Associated Herbivores in Akumal, Mexico","Mudge, L; Alves, C; Bruno, J",2019,FRONTIERS IN MARINE SCIENCE,WOS:000495730800001
White Syndromes of Western Atlantic Reef-Building Corals,"Bruckner, AW",2016,,WOS:000385235100024
"White pox disease of the Caribbean Elkhorn coral, Acropora palmata","Sutherland, KP; Ritchie, KB",2004,,WOS:000222374300016
Diseases of scleractinian corals,"Bourne, DG; Smith, HA; Page, CA",2022,,WOS:000841851900005
"Serratia marcescens associated ampullary system infection and septicaemia in a bonnethead shark, Sphyrna tiburo (L.)","Camus, A; Berliner, A; Marancik, D",2013,JOURNAL OF FISH DISEASES,WOS:000324918400009
"The etiology of white pox, a lethal disease of the Caribbean elkhorn coral, Acropora palmata","Patterson, KL; Porter, JW; Smiths, GW",2002,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,WOS:000176478200048
"Human sewage identified as likely source of white pox disease of the threatened Caribbean elkhorn coral, Acropora palmata","Sutherland, KP; Porter, JW; Lipp, EK",2010,ENVIRONMENTAL MICROBIOLOGY,WOS:000277000300002
Archetypal 'elkhorn' coral discovered in the Pacific Ocean,"Richards, ZT; Wallace, CC; Miller, DJ",2010,SYSTEMATICS AND BIODIVERSITY,WOS:000279221600010
Trace element proxies and stable isotopes used to identify water quality threats to elkhorn coral (Acropora palmata) at two national parks in St.,"Bayless, AL; Christopher, SJ; Woodley, CM",2021,MARINE POLLUTION BULLETIN,WOS:000677858000002
Predicted disappearance of coral-reef ramparts: a direct result of major ecological disturbances,"Williams, EH Jr; Bartels, PJ; Bunkley-Williams, L",1999,GLOBAL CHANGE BIOLOGY,WOS:000085051700001
"Impacts of fragment genotype, habitat, and size on outplanted elkhorn coral success under thermal stress","Pausch, RE; Williams, DE; Miller, MW",2018,MARINE ECOLOGY PROGRESS SERIES,WOS:000428818700007
Draft genome sequence of Halomonas meridiana R1t3 isolated from the surface microbiota of the Caribbean Elkhorn coral Acropora palmata,"Meyer, JL; Dillard, BA; Teplitski, M",2015,STANDARDS IN GENOMIC SCIENCES,WOS:000367998800001
"Bleaching, disease and recovery in the threatened scleractinian coral Acropora palmata in St. John, US Virgin Islands: 2003-2010","Rogers, CS; Muller, EM",2003,CORAL REEFS,WOS:000307287400022
Differential Effects of Substrate Type and Genet on Growth of Microfragments of Acropora palmata,"Papke, E; Wallace, B; Nowicki, R",2021,FRONTIERS IN MARINE SCIENCE,WOS:000644402000001
Storm-mediated coral colonization by an excavating Caribbean sponge,"López-Victoria, M; Zea, S",2004,CLIMATE RESEARCH,WOS:000223393700007
"Early signs of recovery of Acropora palmata in St. John, US Virgin Islands","Muller, EM; Rogers, CS; van Woesik, R",2014,MARINE BIOLOGY,WOS:000330617800010
Microbial composition of biofilms associated with lithifying rubble of Acropora palmata branches,"Beltrán, Y; Cerqueda-García, D; Falcón, LI",2016,FEMS MICROBIOLOGY ECOLOGY,WOS:000371249300013
"Elevated Temperature Affects Development, Survivorship, and Settlement of the Elkhorn Coral, Acropora palmata (Lamarck 1816)","Randall, CJ; Szmant, AM",2009,BIOLOGICAL BULLETIN,WOS:000273409200007
"Population status of Acropora palmata (Lamarck, 1816) in Cuban coral reefs","Caballero-Aragón, H; Perera-Valderrama, S; Armenteros, M",2020,REGIONAL STUDIES IN MARINE SCIENCE,WOS:000519571000040
Use of Quantitative Real-Time PCR for Direct Detection of Serratia marcescens in Marine and Other Aquatic Environments,"Joyner, J; Wanless, D; Lipp, EK",2014,APPLIED AND ENVIRONMENTAL MICROBIOLOGY,WOS:000331626300017
"Acute heat stress and the extirpation of a threatened coral species from a remote, subtropical reef system","Thompson, AM; Stathakopoulos, A; Kuffner, IB",2025,CORAL REEFS,WOS:001466189800001
Settlement induction of Acropora palmata planulae by a GLW-amide neuropeptide,"Erwin, PM; Szmant, AM",2010,CORAL REEFS,WOS:000283940700014
Climate flickers and range shifts of reef corals,"Precht, WF; Aronson, RB",2004,FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,WOS:000223960900016
Cryptic changes in the genetic structure of a highly clonal coral population and the relationship with ecological performance,"Williams, DE; Miller, MW; Baums, IB",2014,CORAL REEFS,WOS:000340395300005
"Effects of temperature, nutrients, organic matter and coral mucus on the survival of the coral pathogen, Serratia marcescens PDL100","Looney, EE; Sutherland, KP; Lipp, EK",2010,ENVIRONMENTAL MICROBIOLOGY,WOS:000281556900008
Modes of coral disease transmission: how do diseases spread between individuals and among populations?,"Shore, A; Caldwell, JM",2019,MARINE BIOLOGY,WOS:000459811900002
Host-related Morphological Variation of Dwellings Inhabited by the Crab Domecia acanthophora in the Corals Acropora palmata and Millepora complanata (Southern Caribbean),"Hoeksema, BW; García-Hernandez, JE",2020,DIVERSITY-BASEL,WOS:000533906300003
"Bleaching increases likelihood of disease on Acropora palmata (Lamarck) in Hawksnest Bay, St John, US Virgin Islands","Muller, EM; Rogers, CS; van Woesik, R",2008,CORAL REEFS,WOS:000252767200025
Evaluating Patterns of a White-Band Disease (WBD) Outbreak in Acropora palmata Using Spatial Analysis: A Comparison of Transect and Colony Clustering,"Lentz, JA; Blackburn, JK; Curtis, AJ",2011,PLOS ONE,WOS:000292929500013
Coral culture - Possible future trends and directions,"Arvedlund, M; Craggs, J; Pecorelli, J",2001,,WOS:000186430700016
Sr/Ca-Sea surface temperature calibration in the branching Caribbean coral Acropora palmata - art. no. L03606,"Gallup, CD; Olson, DM; Taylor, FW",2006,GEOPHYSICAL RESEARCH LETTERS,WOS:000235156900005
"Cryptobiota associated to dead Acropora palmata (Scleractinia: Acroporidae) coral, Isla Grande, Colombian Caribbean","Moreno-Forero, SK; Navas, GR; Solano, OD",1998,REVISTA DE BIOLOGIA TROPICAL,WOS:000078824100007
Coral reef diseases in the wider Caribbean,"Weil, E",2004,,WOS:000222374300002
FIRST RECORDS FOR SPAWNING OF CARIBBEAN ACROPORA SPECIES IN COLOMBIAN MPAs,"Hudson, DM; Christie, BL; Zuluaga, C",2020,GULF AND CARIBBEAN RESEARCH,WOS:000616939200009
Differential larval settlement responses of Porites astreoides and Acropora palmata in the presence of the green alga Halimeda opuntia,"Olsen, K; Sneed, JM; Paul, VJ",2016,CORAL REEFS,WOS:000376244600015
"CO2 enrichment and reduced seawater pH had no effect on the embryonic development of Acropora palmata (Anthozoa, Scleractinia).","Medina-Rosas, P; Szmant, AM; Whitehead, RF",2013,INVERTEBRATE REPRODUCTION & DEVELOPMENT,WOS:000319715200007
Coral Reef Diseases in the Atlantic-Caribbean,"Weil, E; Rogers, CS",2011,,WOS:000285982500027
Tropical and Sub-Tropical Coral Reefs,"Wilkinson, C; Brathwaite, A; Webster, N",2017,,WOS:000425033100053
History of Coral Disease Research,"Bruckner, AW",2016,,WOS:000385235100007
Post-settlement survivorship in two Caribbean broadcasting corals,"Miller, MW",2014,CORAL REEFS,WOS:000344628500017
Location-Specific Responses to Thermal Stress in Larvae of the Reef-Building Coral Montastraea faveolata,"Polato, NR; Voolstra, CR; Baums, IB",2010,PLOS ONE,WOS:000279135400010
Current status of coral takeover by an encrusting excavating sponge in a Caribbean reef,"Marulanda-Gómez, A; López-Victoria, M; Zea, S",2017,MARINE ECOLOGY-AN EVOLUTIONARY PERSPECTIVE,WOS:000394580200006
Variation in the transcriptional response of threatened coral larvae to elevated temperatures,"Polato, NR; Altman, NS; Baums, IB",2013,MOLECULAR ECOLOGY,WOS:000315414700014
"Lesion regeneration in the branching coral Acropora palmata:: effects of colonization, colony size, lesion size, and lesion shape","Lirman, D",2000,MARINE ECOLOGY PROGRESS SERIES,WOS:000087620800015
"Regionally isolated populations of an imperiled Caribbean coral, Acropora palmata","Baums, IB; Miller, MW; Hellberg, ME",2005,MOLECULAR ECOLOGY,WOS:000228179200010
Storm-induced coral rubble deposition: Pleistocene records of natural reef disturbance and community response.,"Perry, CT",2001,CORAL REEFS,WOS:000171263100012
Sediment associated with algal turfs inhibits the settlement of two endangered coral species,"Spear, KE; Duran, A; Burkepile, DE",2019,MARINE POLLUTION BULLETIN,WOS:000472686700022
Mendelian microsatellite loci for the Caribbean coral Acropora palmata,"Baums, IB; Hughes, CR; Hellberg, ME",2005,MARINE ECOLOGY PROGRESS SERIES,WOS:000228394400010
"Post-hurricane initial recovery of Acropora palmata in two reefs of the Yucatan Peninsula, Mexico","Jordan-Dahlgren, E; Rodriguez-Martinez, RE",1998,BULLETIN OF MARINE SCIENCE,WOS:000077247600018
Genomic insights into natural and restored populations of Acropora palmata: implications for genetic diversity and conservation strategies,"Alvarado-Ceron, V; Gomez-Corrales, M; Prada, C",2026,MARINE ENVIRONMENTAL RESEARCH,WOS:001645255100001
A simulation model of the population dynamics of the branching coral Acropora palmata -: Effects of storm intensity and frequency,"Lirman, D",2003,ECOLOGICAL MODELLING,WOS:000181657400003
Global warming and coral reefs:: Modelling the effect of temperature on Acropora palmata colony growth,"Crabbe, MJC",2007,COMPUTATIONAL BIOLOGY AND CHEMISTRY,WOS:000249192700007
BARIUM VARIATION IN ACROPORA-PALMATA AND MONTASTREA-ANNULARIS,"PINGITORE, NE; RANGEL, Y; KWARTENG, A",1989,CORAL REEFS,WOS:A1989AB56000005
"Survival, rarity, and extinction in tropical stony corals","Wilson, B; Edmunds, PJ",2026,CONSERVATION BIOLOGY,WOS:001649935000001
Clonal structure and variable fertilization success in Florida Keys broadcast-spawning corals,"Miller, MW; Baums, IB; Woodley, CM",2018,CORAL REEFS,WOS:000423830500023
Storm-generated coral fragments - A viable source of transplants for reef rehabilitation,"Garrison, V; Ward, G",2008,BIOLOGICAL CONSERVATION,WOS:000261574900017
The effect of pruning Acropora palmata as a strategy for obtaining living tissue for reef restoration actions,"Souza, CP; Espinoza, EN; Saldívar, NE",2023,REVISTA DE BIOLOGIA TROPICAL,WOS:000991842900018
Bacterial assemblages associated with Acropora palmata affected by white band disease in the Mexican region of the Caribbean and Gulf of Mexico,"Hernandez-Zulueta, J; Diaz-Perez, L; Rodriguez-Zaragoza, FA",2022,JOURNAL OF SEA RESEARCH,WOS:000810943200003
Discernment of sexual recruits is not critical for assessing population recovery of Acropora palmata,"Grober-Dunsmore, R; Bonito, V; Frazer, TK",2007,MARINE ECOLOGY PROGRESS SERIES,WOS:000246486800021
Leachate effects of pelagic Sargassum spp. on larval swimming behavior of the coral Acropora palmata,"Antonio-Martínez, F; Henaut, Y; Espinoza-Avalos, J",2020,SCIENTIFIC REPORTS,WOS:000560289400031
Spatial Homogeneity of Bacterial Communities Associated with the Surface Mucus Layer of the Reef-Building Coral Acropora palmata,"Kemp, DW; Rivers, AR; Wares, JP",2015,PLOS ONE,WOS:000366715900018
Assisted gene flow using cryopreserved sperm in critically endangered coral,"Hagedorn, M; Page, CA; Marhaver, KL",2021,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,WOS:000702151600003
"Microsatellite loci isolated from the scleractinian coral, Acropora nobilis","Isomura, N; Hidaka, M",2008,MOLECULAR ECOLOGY RESOURCES,WOS:000254810300017
