title,authors,year,journal,doi,wos_id
"The sea urchin Diadema antillarum facilitates recruitment of the Critically Endangered Caribbean coral species Acropora palmata","Latijnhouwers, KRW; van Aalst, M; Chamberland, VF","2024","MARINE ECOLOGY PROGRESS SERIES","","WOS:001338506600007"
"Heterotrophy, microbiome, and location effects on restoration efficacy of the threatened coral Acropora palmata","Chapron, L; Kuffner, IB; Grottoli, AG","2023","COMMUNICATIONS EARTH & ENVIRONMENT","","WOS:001031307500001"
"Does stocking of grazing crabs (Maguimithrax spinosissimus) facilitate the survival and growth of out-planted corals?","Butler, MJ","2026","RESTORATION ECOLOGY","","WOS:001644471900001"
"Assessing and genotyping threatened staghorn coral Acropora cervicornis nurseries during restoration in southeast Dominican Republic","Calle-Triviño, J; Rivera-Madrid, R; Arias-González, JE","2020","PEERJ","","WOS:000526522100004"
"Facilitation in Caribbean coral reefs: high densities of staghorn coral foster greater coral condition and reef fish composition","Huntington, BE; Miller, MW; Richter, L","2017","OECOLOGIA","","WOS:000400369200020"
"Should Hybrids Be Used in Coral Nurseries? A Case Study Comparing Caribbean Acropora spp. and Their Hybrid in the Bahamas","VanWynen, CM; Hightshoe, M; Gilliam, DS","2021","FRONTIERS IN MARINE SCIENCE","","WOS:000692563700001"
"Demographics and dynamics of two restored populations of the threatened reef-building coral Acropora cervicornis","Mercado-Molina, AE; Ruiz-Diaz, CP; Sabat, AM","2015","JOURNAL FOR NATURE CONSERVATION","","WOS:000353092800003"
"EVALUATING CAUSES OF TRANSPLANT STRESS IN FRAGMENTS OF ACROPORA PALMATA USED FOR CORAL REEF RESTORATION","Forrester, GE; Maynard, A; Taylor, K","2012","BULLETIN OF MARINE SCIENCE","","WOS:000310106200017"
"Effects of herbivory by the urchin Diadema antillarum on early restoration success of the coral Acropora cervicornis in the central Caribbean","Cano, I; Sellares-Blasco, R; Croquer, A","2021","JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY","","WOS:000645098600003"
"Post-settlement survivorship in two Caribbean broadcasting corals","Miller, MW","2014","CORAL REEFS","","WOS:000344628500017"
"Age and intraspecific diversity of resilient Acropora communities in Belize","Irwin, A; Greer, L; Baums, IB","2017","CORAL REEFS","","WOS:000415691300009"
"Evaluating Methods for Transplanting Endangered Elkhorn Corals in the Virgin Islands","Forrester, GE; O'Connell-Rodwell, C; Jarecki, L","2011","RESTORATION ECOLOGY","","WOS:000289893200002"
"Larval dispersal patterns and connectivity of Acropora on Florida's Coral Reef and its implications for restoration","King, S; Saint-Amand, A; Figueiredo, J","2023","FRONTIERS IN MARINE SCIENCE","","WOS:000927763600001"
"A REVIEW OF REEF RESTORATION AND CORAL PROPAGATION USING THE THREATENED GENUS ACROPORA IN THE CARIBBEAN AND WESTERN ATLANTIC","Young, CN; Schopmeyer, SA; Lirman, D","2012","BULLETIN OF MARINE SCIENCE","","WOS:000310106200016"
"White-band disease and the changing face of Caribbean coral reefs","Aronson, RB; Precht, WF","2001","HYDROBIOLOGIA","","WOS:000173249100003"
"FIRST RECORDS FOR SPAWNING OF CARIBBEAN ACROPORA SPECIES IN COLOMBIAN MPAs","Hudson, DM; Christie, BL; Zuluaga, C","2020","GULF AND CARIBBEAN RESEARCH","","WOS:000616939200009"
"Long-term survival, growth, and reproduction of Acropora palmata sexual recruits outplanted onto Mexican Caribbean reefs","Quiroz, SM; Beltrán-Torres, AU; Banaszak, AT","2023","PEERJ","","WOS:001177955600001"
"Ecological solutions to reef degradation: optimizing coral reef restoration in the Caribbean and Western Atlantic","Lirman, D; Schopmeyer, S","2016","PEERJ","","WOS:000385821100010"
"Coral Reef Restoration Techniques and Management Strategies in the Caribbean and Western Atlantic: A Quantitative Literature Review","Hodges, L; Hallock, P","2025","DIVERSITY-BASEL","","WOS:001515630500001"
"In Situ Coral Nurseries Serve as Genetic Repositories for Coral Reef Restoration after an Extreme Cold-Water Event","Schopmeyer, SA; Lirman, D; Walter, C","2012","RESTORATION ECOLOGY","","WOS:000310871600006"
"Density Dependence Drives Habitat Production and Survivorship of Acropora cervicornis Used for Restoration on a Caribbean Coral Reef","Ladd, MC; Shantz, AA; Burkepile, DE","2016","FRONTIERS IN MARINE SCIENCE","","WOS:000457358000257"
"Stabilization of Fragments to Enhance Asexual Recruitment in Acropora Palmata, a Threatened Caribbean Coral","Williams, DE; Miller, MW","2010","RESTORATION ECOLOGY","","WOS:000284171800022"
"Differential larval settlement responses of Porites astreoides and Acropora palmata in the presence of the green alga Halimeda opuntia","Olsen, K; Sneed, JM; Paul, VJ","2016","CORAL REEFS","","WOS:000376244600015"
"Extirpation of Acropora cervicornis genotypes from a coral nursery during the 2023 marine heatwave undermines conservation efforts","Le Gall, L; Johnson, JV; Goodbody-Gringley, G","2025","FRONTIERS IN MARINE SCIENCE","","WOS:001574960300001"
"RECOLONIZATION PATTERNS OF ACROPORA-PALMATA IN A MARGINAL ENVIRONMENT","JORDANDAHLGREN, E","1992","BULLETIN OF MARINE SCIENCE","","WOS:A1992JQ54200010"
"The Effects of Depth-Related Environmental Factors on Traits in Acropora cervicornis Raised in Nurseries","Ruiz-Diaz, CP; Toledo-Hernández, C; Betancourt, B","2022","WATER","","WOS:000757656400001"
"Improving growth monitoring of Acropora cervicornis in nurseries and outplants at Tayrona National Natural Park, Colombian Caribbean","Sánchez, MC; Garzón-Machado, M; García-Urueña, R","2026","JOURNAL FOR NATURE CONSERVATION","","WOS:001597860000001"
"Assessing the potential for natural recovery and coral restoration techniques for enhancing coral habitat in Jamaica","Quinn, NJ; Kojis, BL; Bowden-Kerby, WA","2005","","","WOS:000238978702150"
"Outplants of the Threatened Coral Acropora cervicornis Promote Coral Recruitment in a Shallow-Water Coral Reef, Culebra, Puerto Rico","Mercado-Molina, AE; Suleimán-Ramos, SE","2023","SUSTAINABILITY","","WOS:001132015200001"
"Location-Specific Metrics for Rapidly Estimating the Abundance and Condition of the Threatened Coral Acropora cervicornis","Huntington, BE; Miller, MW","2014","RESTORATION ECOLOGY","","WOS:000336842500007"
"Genotype and attachment technique influence the growth and survival of line nursery corals","Goergen, EA; Ostroff, Z; Gilliam, DS","2018","RESTORATION ECOLOGY","","WOS:000438220000005"
