study_id,search_phase,screener,screening_stage,decision,reason,species,location,parameter_sheets,notes
Albright et al. 2010,Detmer 2025,Detmer,full_text,EXCLUDED,Settlement/recruitment (different life stage),Acropora palmata,Lab in Florida,growth,growth measured over the course of 50d post-settlement; only took values from control CO2 levels but growth declined with increasing pCO2
Bak et al. 2009,Detmer 2025,Detmer,full_text,EXCLUDED,Did not meet extraction criteria (see notes),Acropora palmata,Curaçao,growth,range of means across different seasons and years (see Fig. 1 for all values); from coral traits database
Baums et al. 2006,Detmer 2025,Detmer,full_text,EXCLUDED,Did not meet extraction criteria (see notes),Acropora palmata,Caribbean,reproduction,
Becker & Mueller 2001,Detmer 2025,Detmer,full_text,EXCLUDED,Wrong species (A. cervicornis),Acropora cervicornis,aquarium,survival+growth,survival after 8 months; fragments taken from 3 donor colonies on an undamaged reef in the Florida Keys
Bruckner & Bruckner 2001,Detmer 2025,Detmer,full_text,INCLUDED,Tier 2 hand: Survival,Acropora palmata,Puerto Rico,survival,survival after 2 yrs; see Fig. 3 for more detailed size class breakdown
Bythell et al. 1993,Detmer 2025,Detmer,full_text,EXCLUDED,Wrong species (Diploria strigosa),Diploria strigosa,US Virgin Islands,survival,"survival over 26 months (but most mortality from hurricane; Table 1), ""mortality rates were not apparently size-dependent"" (but did decrease w/ size f"
Chamberland et al. 2015,Detmer 2025,Detmer,full_text,EXCLUDED,Recruits/microfragments (<1 cm²),Acropora palmata,Curaçao,survival+growth,"survival after ~1yr (11months), see Fig. 2A for other time intervals. Saw higher survival in recruits outplanted to reef. Actual values were stated in"
Chen et al. 2020,Detmer 2025,Detmer,full_text,EXCLUDED,Did not meet extraction criteria (see notes),Acropora palmata,USVI,survival+growth,values from Bayesian estimation with strong beta priors based on Vardi et al. 2012
Crabbe 2009,Detmer 2025,Detmer,full_text,EXCLUDED,Did not meet extraction criteria (see notes),Acropora palmata,Jamaica,growth,"mean (range 50-90); ""Sampling was over as wide a range of sizes as possible""; from coral traits database"
Crabbe 2010,Detmer 2025,Detmer,full_text,EXCLUDED,Did not meet extraction criteria (see notes),Acropora palmata,Jamaica,growth,mean; see Table 1 for all years; from coral traits database
Crabbe 2013,Detmer 2025,Detmer,full_text,EXCLUDED,Did not meet extraction criteria (see notes),Acropora palmata,Jamaica,growth,"mean (range 50-90); ""Sampling was over as wide a range of sizes as possible""; from coral traits database"
Edmunds 2010,Detmer 2025,Detmer,full_text,EXCLUDED,Wrong species (Diploria strigosa),Diploria strigosa,US Virgin Islands,survival+growth,range of yearly rates over 5 yrs
Erwin & Szmant 2010,Detmer 2025,Detmer,full_text,EXCLUDED,Did not meet extraction criteria (see notes),Acropora palmata,Puerto Rico,survival,survival after 36 days; higher on unconditioned tiles than on tiles conditioned with biofilm
Fong & Lirman 1995,Detmer 2025,Detmer,full_text,EXCLUDED,Settlement/recruitment (different life stage),Acropora palmata,Florida,survival+growth,prop. of fragments that cemented to bottom by 9 mo. after Hurricane Andrew; found size didn't significantly affect recruitment (no diff in mean size o
