study,region,location,latitude,longitude,data_type,metric,value,unit,n,size_class_or_range,time_interval,notes,data_source
lirman_2000,Florida Keys,Elkhorn Reef,25.363,-80.166,field,fragment_proportion,0.40,proportion,,,"post-hurricane","Fragments comprised 40% of ramets within populations that experienced recent storms (Elkhorn and Ball Buoy Reefs). Belt transects 25x1m on 10 reefs.",ai_extracted
lirman_2000,Florida Keys,Elkhorn Reef,25.363,-80.166,field,fragment_cover,14.8,percent,3,,"post-hurricane_Andrew","Fragments occupied 14.8% (SE=2.1) of bottom on Elkhorn Reef after Hurricane Andrew. n=3 transects.",ai_extracted
lirman_2000,Florida Keys,Elkhorn Reef,25.363,-80.166,field,colony_cover,12.1,percent,3,,"post-hurricane_Andrew","Standing colonies occupied 12.1% (SE=2.4) of bottom on Elkhorn Reef after Hurricane Andrew. n=3 transects.",ai_extracted
lirman_2000,Florida Keys,Ball Buoy Reef,25.309,-80.200,field,fragment_cover_pre_storm,2.3,percent,,,"pre-TS_Gordon","Cover of fragments before Tropical Storm Gordon. SE=0.8.",ai_extracted
lirman_2000,Florida Keys,Ball Buoy Reef,25.309,-80.200,field,fragment_cover_post_storm,10.0,percent,,,"post-TS_Gordon","Cover of fragments increased to 10.0% (SE=2.6) after Tropical Storm Gordon.",ai_extracted
lirman_2000,Florida Keys,Little Grecian Reef,25.12,-80.30,field,fragment_proportion,0.35,proportion,,,"no_recent_storm","35% of population comprised of fragments. No significant storm activity reported in recent past.",ai_extracted
lirman_2000,Florida Keys,Dry Tortugas,24.63,-82.87,field,fragment_proportion,0.43,proportion,,,"no_recent_storm","43% of population comprised of fragments. No significant storm activity reported in recent past.",ai_extracted
lirman_2000,Florida Keys,Elkhorn Reef,25.363,-80.166,experiment,fragment_survival_tissue_loss_1mo,35.5,percent_tissue_lost,50,,"1_month","Mean percent tissue mortality was 35.5% (SE=6.5) of live tissue lost within the first month across all substrates. n=50 fragments transplanted to 4 substrate types.",ai_extracted
lirman_2000,Florida Keys,Elkhorn Reef,25.363,-80.166,experiment,fragment_survival_tissue_loss_2mo,38.4,percent_tissue_lost,50,,"2_months","Tissue losses after 2 months: 38.4% (SE=6.4). Not much higher than 1-month losses.",ai_extracted
lirman_2000,Florida Keys,Elkhorn Reef,25.363,-80.166,experiment,fragment_survival_tissue_loss_3mo,45.7,percent_tissue_lost,50,,"3_months","Tissue losses after 3 months: 45.7% (SE=6.9).",ai_extracted
lirman_2000,Florida Keys,Elkhorn Reef,25.363,-80.166,experiment,fragment_survival_tissue_loss_4mo,47.1,percent_tissue_lost,50,,"4_months","Tissue losses after 4 months: 47.1% (SE=3.4).",ai_extracted
lirman_2000,Florida Keys,Elkhorn Reef,25.363,-80.166,experiment,fragment_survival_on_sand,58.0,percent_tissue_lost,12,,"1_month","Greatest mortality (58% loss) observed on sand within the first month. Fragments covered by sediments and showed bleaching.",ai_extracted
lirman_2000,Florida Keys,Elkhorn Reef,25.363,-80.166,experiment,fragment_survival_on_rubble,30.0,percent_tissue_lost,12,,"1_month","Approximate tissue loss on rubble substrate at 1 month. Read from Fig. 3.",ai_extracted
lirman_2000,Florida Keys,Elkhorn Reef,25.363,-80.166,experiment,fragment_survival_on_hard,35.0,percent_tissue_lost,13,,"1_month","Approximate tissue loss on hard (consolidated carbonate) substrate at 1 month. Read from Fig. 3.",ai_extracted
lirman_2000,Florida Keys,Elkhorn Reef,25.363,-80.166,experiment,fragment_survival_on_live_coral,0.0,percent_tissue_lost,13,,"4_months","Fragments placed on top of live A. palmata colonies fused to underlying tissue and did not experience any tissue losses over 4 months.",ai_extracted
lirman_2000,Florida Keys,Elkhorn Reef,25.363,-80.166,experiment,fragment_removal_by_size,77.6,cm2_mean_size,10,,"transplant_period","Mean size of fragments removed from reef by waves/currents: 77.6 cm2 (SE=13.4). Smaller than those that remained: 289.3 cm2 (SE=16.1, n=40).",ai_extracted
lirman_2000,Florida Keys,Elkhorn Reef,25.363,-80.166,experiment,fragment_retained_mean_size,289.3,cm2,40,,"transplant_period","Mean size of fragments that remained within transplant sites: 289.3 cm2 (SE=16.1). Significantly larger than removed fragments (Mann-Whitney U, P<0.05).",ai_extracted
lirman_2000,Florida Keys,Elkhorn Reef,25.363,-80.166,field,colony_survival,1.0,proportion,100,,"4_years_1992-1996","None of the 100 adult colonies surveyed (fragmented or unfragmented) exhibited complete tissue mortality between 1992 and 1996.",ai_extracted
lirman_2000,Florida Keys,Elkhorn Reef,25.363,-80.166,field,proto_branch_production_vs_area,0.003,branches_per_cm2,,,"per_year","Number of proto-branches directly related to surface area of fragments (r2=0.64, P<0.05). From 30 fragments mean size=651 cm2.",ai_extracted
lirman_2000,Florida Keys,Elkhorn Reef,25.363,-80.166,field,proto_branch_growth_rate_yr1,1.7,cm_per_year,,,"1993-1994","Growth rate of proto-branches calculated from regression. Year 1 after Hurricane Andrew.",ai_extracted
lirman_2000,Florida Keys,Elkhorn Reef,25.363,-80.166,field,proto_branch_growth_rate_yr2,2.7,cm_per_year,,,"1994-1995","Growth rate of proto-branches. Year 2 after Hurricane Andrew.",ai_extracted
lirman_2000,Florida Keys,Elkhorn Reef,25.363,-80.166,field,proto_branch_growth_rate_yr3,4.2,cm_per_year,,,"1995-1996","Growth rate of proto-branches. Year 3 after Hurricane Andrew.",ai_extracted
lirman_2000,Florida Keys,Elkhorn Reef,25.363,-80.166,field,proto_branch_growth_rate_yr4,6.5,cm_per_year,,,"1996-1997","Growth rate of proto-branches. Year 4 after Hurricane Andrew. Approaching adult growth rate of 6.9 cm/yr.",ai_extracted
lirman_2000,Florida Keys,Elkhorn Reef,25.363,-80.166,field,adult_linear_growth_rate,6.9,cm_per_year,30,,"6_months_1996","Linear growth rate of adult A. palmata colonies: 6.9 cm/yr (SE=0.3). n=30 colonies, 3 branches per colony.",ai_extracted
lirman_2000,Florida Keys,Elkhorn Reef,25.363,-80.166,field,proto_branch_height_exponential_r2,0.81,dimensionless,,,"1992-1997","Proto-branch height vs time fit by exponential: y=2.05*e^(0.0012x), r2=0.81, P<0.01. x=days since fragmentation, n=267 proto-branches on 35 fragments.",ai_extracted
fong_lirman_1995,Florida Keys,Elkhorn Reef,25.363,-80.166,field,fragment_density_9mo,4.56,fragments_per_m2,218,"all_sizes","9_months","Mean density 9 months after Hurricane Andrew (May 1993). 218 fragments in 48 1-m2 quadrats. SE=0.54.",ai_extracted
fong_lirman_1995,Florida Keys,Elkhorn Reef,25.363,-80.166,field,fragment_density_19mo,5.24,fragments_per_m2,271,"all_sizes","19_months","Mean density 19 months after storm (March 1994). 271 fragments in transects. SE=0.6. Fragments increased in number.",ai_extracted
fong_lirman_1995,Florida Keys,Elkhorn Reef,25.363,-80.166,field,fragment_cementation_rate_9mo,0.72,proportion,218,"all_sizes","9_months","72% of 218 sampled fragments had cemented to the substratum 9 months after Hurricane Andrew, becoming new recruits.",ai_extracted
fong_lirman_1995,Florida Keys,Elkhorn Reef,25.363,-80.166,field,fragment_cementation_rate_19mo,0.94,proportion,271,"all_sizes","19_months","94% of sampled fragments had become cemented recruits by 19 months after the storm (March 1994). 95% had become recruits by then.",ai_extracted
fong_lirman_1995,Florida Keys,Elkhorn Reef,25.363,-80.166,field,fragment_size_distribution_5_20cm,0.49,proportion,218,"5-20_cm_length","9_months","49% of fragments were in the 5-20 cm length range. Most fragments were longer than 5 cm.",ai_extracted
fong_lirman_1995,Florida Keys,Elkhorn Reef,25.363,-80.166,field,fragment_size_distribution_20_50cm,0.40,proportion,218,"20-50_cm_length","9_months","40% of fragments were 20-50 cm in longest length.",ai_extracted
fong_lirman_1995,Florida Keys,Elkhorn Reef,25.363,-80.166,field,fragment_size_distribution_gt50cm,0.11,proportion,218,">50_cm_length","9_months","11% of fragments were >50 cm in longest length.",ai_extracted
fong_lirman_1995,Florida Keys,Elkhorn Reef,25.363,-80.166,field,wound_healing_rate,1.59,cm_per_month,,,"5_months","Average linear extension of tissue healing across wound on surviving colonies. Measured at 6 injury sites on 2 colonies (T1-T3 mean). SE=0.31.",ai_extracted
fong_lirman_1995,Florida Keys,Elkhorn Reef,25.363,-80.166,field,wound_area_recovery_5mo,31.1,percent,,,"5_months","Mean percent of wound area recovered by tissue regeneration over 5 months (Oct 1992 - Mar 1993). SE=6.7.",ai_extracted
fong_lirman_1995,Florida Keys,Elkhorn Reef,25.363,-80.166,field,proto_branch_production_vs_area_r2,0.855,dimensionless,6,"all_sizes","9_months","Linear relationship between initial fragment area (cm2) and number of proto-branches: y=12.87+0.003x, r2=0.855. n=6 recruits.",ai_extracted
fong_lirman_1995,Florida Keys,Elkhorn Reef,25.363,-80.166,field,proto_branch_number_range,17-36,count_per_fragment,6,"all_sizes","9_months","Number of proto-branches per recruit ranged from 17 to 36.",ai_extracted
fong_lirman_1995,Florida Keys,Elkhorn Reef,25.363,-80.166,field,proto_branch_growth_solitary,0.53,cm_per_month,40,"solitary","9_months","Growth rate of solitary proto-branches (>5 cm from others): 0.53 cm/month (SE=0.05). Significantly faster than aggregated (P<0.05).",ai_extracted
fong_lirman_1995,Florida Keys,Elkhorn Reef,25.363,-80.166,field,proto_branch_growth_aggregated,0.20,cm_per_month,82,"aggregated","9_months","Growth rate of aggregated proto-branches (<5 cm apart): 0.20 cm/month (SE=0.09).",ai_extracted
highsmith_et_al_1980,Belize,Carrie Bow Cay,16.80,-88.08,field,fragment_size_survival_function_intercept,4.44,dimensionless,750,"10-155_cm_length","4_months","Power function Y=4.44*X^0.66 where Y=percent fragments surviving and X=fragment size in cm. r2=0.91, P<0.001. n=750 total fragments (all species) in spur and groove zone.",ai_extracted
highsmith_et_al_1980,Belize,Carrie Bow Cay,16.80,-88.08,field,fragment_size_survival_function_exponent,0.66,dimensionless,750,"10-155_cm_length","4_months","Exponent of the power function Y=4.44*X^0.66 for fragment survival vs size.",ai_extracted
highsmith_et_al_1980,Belize,Carrie Bow Cay,16.80,-88.08,field,fragment_survival_all_species,0.39,proportion,750,">=10_cm_length","4_months","Overall 39% of fragments and detached colonies survived Hurricane Gerta. n=750 measured in spur and groove zone (>=10 cm).",ai_extracted
highsmith_et_al_1980,Belize,Carrie Bow Cay,16.80,-88.08,field,fragment_survival_a_palmata,0.46,proportion,412,">=10_cm_length","4_months","46% of detached A. palmata branches survived. n=412 A. palmata fragments. Mean size of live: 46.3 cm (SD=27.7, n=189). Mean size dead: 30.3 cm (SD=18.7, n=223).",ai_extracted
highsmith_et_al_1980,Belize,Carrie Bow Cay,16.80,-88.08,field,fragment_survival_other_species,0.29,proportion,343,">=10_cm_length","4_months","29% of non-A. palmata fragments survived. n=343. Mean size of live: 19.5 cm (SD=10.9, n=100). Mean size dead: 15.6 cm (SD=5.9, n=243).",ai_extracted
highsmith_et_al_1980,Belize,Carrie Bow Cay,16.80,-88.08,field,fragment_mean_size_a_palmata,37.6,cm,412,">=10_cm_length","4_months","Mean size of all A. palmata fragments (combined live and dead): 37.6 cm (SD=24.6). A. palmata fragments significantly larger than other species (t=16.3, P<0.00005).",ai_extracted
highsmith_et_al_1980,Belize,Carrie Bow Cay,16.80,-88.08,field,fragment_mean_size_a_palmata_live,46.3,cm,189,">=10_cm_length","4_months","Mean size of live A. palmata fragments: 46.3 cm (SD=27.7). Live fragments significantly larger than dead (t=6.7, P<0.00005).",ai_extracted
highsmith_et_al_1980,Belize,Carrie Bow Cay,16.80,-88.08,field,fragment_mean_size_a_palmata_dead,30.3,cm,223,">=10_cm_length","4_months","Mean size of dead A. palmata fragments: 30.3 cm (SD=18.7).",ai_extracted
highsmith_et_al_1980,Belize,Carrie Bow Cay,16.80,-88.08,field,fragment_survival_gt40cm,0.50,proportion,,">=40_cm_length","4_months","Over 50% of fragments larger than 40 cm survived (all species).",ai_extracted
highsmith_et_al_1980,Belize,Carrie Bow Cay,16.80,-88.08,field,fragment_survival_gt75cm,0.80,proportion,,">=75_cm_length","4_months","80% or more of fragments >=75 cm survived (all species).",ai_extracted
highsmith_et_al_1980,Belize,Carrie Bow Cay,16.80,-88.08,field,rubble_bank_fragment_mean_length,5.5,cm,1507,"<10_cm_length","4_months","Mean length of small rubble bank fragments: 5.5 cm (SD=2.4). n=1507 fragments in 10 quadrats (0.25 m2 each).",ai_extracted
