"X","study","region","location","plot","treatment_1","treatment_2","latitude","longitude","depth_m","survey_yr","data_type","size_cm2_mean","size_cm2_sd","size_cm2_min","size_cm2_max","size_live","prop_survived","n_initial","fragment","time_interval_yr","disturbance","study_notes","study_N"
1,"rogers_muller_2012","US Virgin Islands","Haulover Bay, St. John",NA,NA,NA,18.358,-64.717,2,2003,"field",NA,NA,NA,NA,"unknown",0.638,69,"N",7,NA,"69 tagged natural colonies Jan 2003-Dec 2009; 44/69 survived 7yr; size measured in volume (cm3) not area; prop_survived=44/69=0.638 over 7yr; annualized=0.638^(1/7)=0.937",69
2,"rogers_muller_2012","US Virgin Islands","Haulover Bay, St. John",NA,NA,NA,18.358,-64.717,2,2003,"field",NA,NA,NA,NA,"unknown",0.937,69,"N",1,NA,"Annualized survival from 7yr cohort: 44/69 survived 2003-2009; annual=0.638^(1/7)=0.937; size in volume (cm3) range 48-1949900; colony mortality from disease (primarily white pox) and bleaching",69
3,"rogers_muller_2012","US Virgin Islands","Haulover Bay, St. John",NA,"size_class_I",NA,18.358,-64.717,2,2003,"field",NA,NA,NA,NA,"unknown",0.857,14,"N",7,NA,"Size class I (<=1000 cm3); 12 of 14 died over 7yr but text says 12/25 deaths in SC I+II; 12 in SC I died; prop_survived approximated; annualized=0.857^(1/7)=0.978; UNCERTAIN - see Fig 7 for annual mortality",69
4,"rogers_muller_2012","US Virgin Islands","Haulover Bay, St. John",NA,NA,NA,18.358,-64.717,2,2003,"field",NA,NA,NA,NA,"unknown",0.87,69,"N",1,NA,"Annual mortality from Fig 7 year 2003: ~13% mortality -> 0.87 survival; approximate read from bar chart",69
5,"rogers_muller_2012","US Virgin Islands","Haulover Bay, St. John",NA,NA,NA,18.358,-64.717,2,2004,"field",NA,NA,NA,NA,"unknown",0.94,69,"N",1,NA,"Annual mortality from Fig 7 year 2004: ~6% mortality -> 0.94 survival; approximate read from bar chart",69
6,"rogers_muller_2012","US Virgin Islands","Haulover Bay, St. John",NA,NA,NA,18.358,-64.717,2,2005,"field",NA,NA,NA,NA,"unknown",0.845,69,"N",1,NA,"Annual mortality from Fig 7 year 2005: ~15.5% mortality -> 0.845 survival; bleaching year; highest mortality year; 9 of ~58 remaining colonies died",69
7,"rogers_muller_2012","US Virgin Islands","Haulover Bay, St. John",NA,NA,NA,18.358,-64.717,2,2006,"field",NA,NA,NA,NA,"unknown",0.94,69,"N",1,NA,"Annual mortality from Fig 7 year 2006: ~6% mortality -> 0.94 survival; approximate read from bar chart",69
8,"rogers_muller_2012","US Virgin Islands","Haulover Bay, St. John",NA,NA,NA,18.358,-64.717,2,2007,"field",NA,NA,NA,NA,"unknown",0.96,69,"N",1,NA,"Annual mortality from Fig 7 year 2007: ~4% mortality -> 0.96 survival; approximate read from bar chart",69
9,"rogers_muller_2012","US Virgin Islands","Haulover Bay, St. John",NA,NA,NA,18.358,-64.717,2,2008,"field",NA,NA,NA,NA,"unknown",0.98,69,"N",1,NA,"Annual mortality from Fig 7 year 2008: ~2% mortality -> 0.98 survival; approximate read from bar chart",69
10,"rogers_muller_2012","US Virgin Islands","Haulover Bay, St. John",NA,NA,NA,18.358,-64.717,2,2009,"field",NA,NA,NA,NA,"unknown",0.98,69,"N",1,NA,"Annual mortality from Fig 7 year 2009: ~2% mortality -> 0.98 survival; approximate read from bar chart",69
11,"rogers_muller_2012","US Virgin Islands","Haulover Bay, St. John",NA,"fragments",NA,18.358,-64.717,2,2003,"field",NA,NA,NA,NA,"unknown",0.44,141,"Y",4.4,NA,"141 fragments monitored Feb 2003-Jun 2007 (~4.4yr); 44% survived 6+ months; 46.1% died; 28.4% alive at end; fragment survival; reattached fragments survived longer (avg 19.2 mo) vs unattached (5.4 mo)",141
12,"ramos_et_al_2024","Cuba","Playa Baracoa",NA,NA,NA,23.0556,-82.55,2,2005,"field",3525.65,NA,NA,NA,"unknown",0.97,NA,"N",1,NA,"Recent mortality (RM) prevalence ~3% in 2005 from Fig 6A; prop_survived=1-0.03=0.97; size_cm2_mean from diameter 67cm in 2012: pi*(67/2)^2=3525.65; natural reef crest population; 17yr monitoring study",NA
13,"ramos_et_al_2024","Cuba","Playa Baracoa",NA,NA,NA,23.0556,-82.55,2,2006,"field",3525.65,NA,NA,NA,"unknown",0.98,NA,"N",1,NA,"Recent mortality (RM) prevalence ~2% in 2006 from Fig 6A; prop_survived=1-0.02=0.98; diameter data from Fig 3",NA
14,"ramos_et_al_2024","Cuba","Playa Baracoa",NA,NA,NA,23.0556,-82.55,2,2012,"field",3525.65,NA,NA,NA,"unknown",0.89,NA,"N",1,NA,"Recent mortality (RM) prevalence ~11% in 2012 from Fig 6A; prop_survived=1-0.11=0.89; highest RM year for PB; mean diameter 67+/-5.9 cm in 2012",NA
15,"ramos_et_al_2024","Cuba","Playa Baracoa",NA,NA,NA,23.0556,-82.55,2,2013,"field",907.92,NA,NA,NA,"unknown",0.97,NA,"N",1,NA,"Recent mortality (RM) prevalence ~3% in 2013 from Fig 6A; prop_survived=1-0.03=0.97; mean diameter decreased to 34+/-2.2 cm; size_cm2=pi*(34/2)^2=907.92",NA
