reef,Genotype,Fragment_num,collection_date,day,Month,Year,Survey#,Fragment_number,LiveFrag,ColType,L,W,H,live_per,Adjusted Area,S01FragCount
gr,ML2,1,15-Jun-18,15,June,2018,1,A,1,L,7,,,100.00%,27.2065,7
gr,ML2,1,15-Jun-18,15,June,2018,1,B,1,L,8,,,100.00%,23.2441,7
gr,ML2,1,15-Jun-18,15,June,2018,1,3,1,L,6,,,100.00%,15.7203,7
gr,ML2,1,15-Jun-18,15,June,2018,1,4,1,L,7,,,100.00%,25.9199,7
gr,ML2,1,15-Jun-18,15,June,2018,1,5,1,L,5,,,100.00%,21.5051,7
gr,ML2,1,15-Jun-18,15,June,2018,1,6,1,L,7,,,100.00%,20.5536,7
gr,ML2,1,15-Jun-18,15,June,2018,1,7,1,L,6,,,100.00%,21.7481,7
gr,ML2,10,15-Jun-18,15,June,2018,1,A,1,L,6,,,100.00%,24.3834,7
gr,ML2,10,15-Jun-18,15,June,2018,1,B,1,L,7,,,100.00%,23.4938,7
gr,ML2,10,15-Jun-18,15,June,2018,1,3,1,L,6,,,100.00%,25.9414,7
gr,ML2,10,15-Jun-18,15,June,2018,1,4,1,L,6,,,100.00%,17.1534,7
gr,ML2,10,15-Jun-18,15,June,2018,1,5,1,L,7,,,100.00%,18.5984,7
gr,ML2,10,15-Jun-18,15,June,2018,1,6,1,L,7,,,100.00%,18.3434,7
gr,ML2,10,15-Jun-18,15,June,2018,1,7,1,L,6,,,100.00%,32.7831,7
gr,ML2,11,15-Jun-18,15,June,2018,1,A,1,L,7,,,100.00%,11.6916,6
gr,ML2,11,15-Jun-18,15,June,2018,1,B,1,L,7,,,100.00%,25.0815,6
gr,ML2,11,15-Jun-18,15,June,2018,1,3,1,L,8,,,100.00%,20.1955,6
gr,ML2,11,15-Jun-18,15,June,2018,1,4,1,L,6,,,100.00%,17.4115,6
gr,ML2,11,15-Jun-18,15,June,2018,1,5,1,L,7,,,100.00%,20.0678,6
gr,ML2,11,15-Jun-18,15,June,2018,1,6,1,L,6,,,100.00%,15.4478,6
gr,ML2,11,15-Jun-18,15,June,2018,1,7,0,DNE,,,,,,6
gr,HS1,17,15-Jun-18,15,June,2018,1,A,1,L,8,,,100.00%,40.2989,6
gr,HS1,17,15-Jun-18,15,June,2018,1,B,1,L,9,,,100.00%,25.6139,6
gr,HS1,17,15-Jun-18,15,June,2018,1,3,1,L,7,,,100.00%,29.8091,6
gr,HS1,17,15-Jun-18,15,June,2018,1,4,1,L,8,,,100.00%,24.1373,6
gr,HS1,17,15-Jun-18,15,June,2018,1,5,1,L,9,,,100.00%,24.8057,6
gr,HS1,17,15-Jun-18,15,June,2018,1,6,1,L,8,,,100.00%,24.0774,6
gr,HS1,17,15-Jun-18,15,June,2018,1,7,0,DNE,,,,,,6
gr,HS1,20,15-Jun-18,15,June,2018,1,A,1,L,9,,,100.00%,31.2186,7
gr,HS1,20,15-Jun-18,15,June,2018,1,B,1,L,8,,,100.00%,19.1989,7
gr,HS1,20,15-Jun-18,15,June,2018,1,3,1,L,9,,,100.00%,27.1389,7
gr,HS1,20,15-Jun-18,15,June,2018,1,4,1,L,21,,,100.00%,21.6008,7
gr,HS1,20,15-Jun-18,15,June,2018,1,5,1,L,,,,100.00%,28.2577,7
gr,HS1,20,15-Jun-18,15,June,2018,1,6,1,L,,,,100.00%,32.8314,7
gr,HS1,20,15-Jun-18,15,June,2018,1,7,1,L,,,,100.00%,41.169,7
gr,HS1,22,15-Jun-18,15,June,2018,1,A,1,L,8,,,100.00%,33.5392,7
gr,HS1,22,15-Jun-18,15,June,2018,1,B,1,L,9,,,100.00%,32.8624,7
gr,HS1,22,15-Jun-18,15,June,2018,1,3,1,L,7,,,100.00%,28.4653,7
gr,HS1,22,15-Jun-18,15,June,2018,1,4,1,L,9,,,100.00%,13.8967,7
gr,HS1,22,15-Jun-18,15,June,2018,1,5,1,L,8,,,100.00%,27.2404,7
gr,HS1,22,15-Jun-18,15,June,2018,1,6,1,L,7,,,100.00%,19.4719,7
gr,HS1,22,15-Jun-18,15,June,2018,1,7,1,L,8,,,100.00%,15.5695,7
gr,HS1,23,15-Jun-18,15,June,2018,1,A,1,L,6,,,100.00%,39.176,7
gr,HS1,23,15-Jun-18,15,June,2018,1,B,1,L,7,,,100.00%,34.219,7
gr,HS1,23,15-Jun-18,15,June,2018,1,3,1,L,9,,,100.00%,16.3112,7
gr,HS1,23,15-Jun-18,15,June,2018,1,4,1,L,10,,,100.00%,26.2129,7
gr,HS1,23,15-Jun-18,15,June,2018,1,5,1,L,8,,,100.00%,14.2211,7
gr,HS1,23,15-Jun-18,15,June,2018,1,6,1,L,6,,,100.00%,36.7972,7
gr,HS1,23,15-Jun-18,15,June,2018,1,7,1,L,8,,,100.00%,34.1887,7
gr,CN1,54,15-Jun-18,15,June,2018,1,A,1,L,10,,,100.00%,23.3281,7
gr,CN1,54,15-Jun-18,15,June,2018,1,B,1,L,9,,,100.00%,26.6765,7
gr,CN1,54,15-Jun-18,15,June,2018,1,3,1,L,9,,,100.00%,38.5048,7
gr,CN1,54,15-Jun-18,15,June,2018,1,4,1,L,9,,,100.00%,38.2098,7
gr,CN1,54,15-Jun-18,15,June,2018,1,5,1,L,8,,,100.00%,51.6276,7
gr,CN1,54,15-Jun-18,15,June,2018,1,6,1,L,8,,,100.00%,27.7277,7
gr,CN1,54,15-Jun-18,15,June,2018,1,7,1,L,,,,100.00%,28.0559,7
gr,CN1,56,15-Jun-18,15,June,2018,1,A,1,L,7,,,100.00%,18.7792,7
gr,CN1,56,15-Jun-18,15,June,2018,1,B,1,L,7,,,100.00%,19.7262,7
gr,CN1,56,15-Jun-18,15,June,2018,1,3,1,L,7,,,100.00%,31.681,7
gr,CN1,56,15-Jun-18,15,June,2018,1,4,1,L,5,,,100.00%,21.936,7
gr,CN1,56,15-Jun-18,15,June,2018,1,5,1,L,6,,,100.00%,12.118,7
gr,CN1,56,15-Jun-18,15,June,2018,1,6,1,L,8,,,100.00%,19.7078,7
gr,CN1,56,15-Jun-18,15,June,2018,1,7,1,L,8,,,100.00%,21.3317,7
gr,CN3,58,15-Jun-18,15,June,2018,1,A,1,L,,,,100.00%,45.7601,7
gr,CN3,58,15-Jun-18,15,June,2018,1,B,1,L,,,,100.00%,18.9261,7
gr,CN3,58,15-Jun-18,15,June,2018,1,3,1,L,,,,100.00%,42.2321,7
gr,CN3,58,15-Jun-18,15,June,2018,1,4,1,L,,,,100.00%,42.2014,7
