"","study","region","location","plot","treatment_1","treatment_2","latitude","longitude","depth_m","survey_yr","data_type","size_cm2_mean","size_cm2_sd","size_cm2_min","size_cm2_max","size_live","growth_cm2_yr_mean","growth_cm2_yr_sd","growth_cm2_yr_min","growth_cm2_yr_max","n_final","fragment","time_interval_yr","disturbance","study_notes","study_N"
"1","mendoza_quiroz_et_al_2023","Mexican Caribbean","lab",NA,"2012",NA,NA,NA,NA,2013,"lab",0.04629,0.0200880940415516,0.01828,0.09506,"both",2.31717066666667,NA,NA,NA,5,"N",0.75,NA,"treatment_1 = cohort; growth estimated as change in mean size",5
"2","fundemar_recruits","Dominican Republic","Sombrero Reef",NA,"APAL_08_2020",NA,18.37048,-68.84673,NA,2021,"field",0.005798,0.00428986246865794,0.00169,0.01231,"unknown",0.0387770289715113,NA,NA,NA,109,"N",0.520547945205479,NA,"sizes estimated from small sample of recruits; treatment 1 = cohort",115
"3","fundemar_recruits","Dominican Republic","Sombrero Reef",NA,"APAL_08_2019",NA,18.37048,-68.84673,NA,2021,"field",0.0088425,0.0051823622578346,0.00349,0.01955,"unknown",0.11914099702381,NA,NA,NA,6,"N",0.46027397260274,NA,"sizes estimated from small sample of recruits; treatment 1 = cohort",115
"4","chamberland_et_al_2015","Curacao","lab",NA,NA,NA,NA,NA,NA,2014,"lab",0.00785398163397448,NA,NA,NA,"unknown",4.9874678851866,NA,NA,NA,1,"N",2.58333333333333,NA,"growth estimated as change in size",10
"5","chamberland_et_al_2015","Curacao","Sea Aquarium Reef",NA,NA,NA,12.083,-68.896,2.5,2014,"field",0.00785398163397448,NA,NA,NA,"unknown",6.45843562712208,7.77456465938015,NA,NA,9,"N",2.58333333333333,NA,"growth estimated as change in size",10
"6","schutter_et_al_2023","Bahamas","lab",NA,NA,NA,25.02167,-77.57299,NA,2016,"lab",0.0115,3e-04,NA,NA,"Y",0.0110188679245283,0.00344339622641509,NA,NA,136,"N",0.145205479452055,NA,"samples sizes are approximate",142
"7","schutter_et_al_2023","Bahamas","New Providence Island",NA,NA,NA,25.02167,-77.57299,NA,2016,"nursery",0.0115,3e-04,NA,NA,"Y",0.0218636363636364,0.0118181818181818,NA,NA,6,"N",0.846153846153846,NA,"samples sizes are approximate",142
"8","papke_et_al_2021","Florida Keys","MOTE",NA,"ceramic","14-3",NA,NA,NA,2020,"lab",0.58,NA,NA,NA,"unknown",5.8765,2.92,NA,NA,28,"Y",0.528767123287671,NA,"treatment_1 is substrate type; treatment_2 is genet",221
"9","papke_et_al_2021","Florida Keys","MOTE",NA,"cement","14-3",NA,NA,NA,2020,"lab",0.62,NA,NA,NA,"unknown",6.2415,2.8835,NA,NA,28,"Y",0.528767123287671,NA,"treatment_1 is substrate type; treatment_2 is genet",221
"10","papke_et_al_2021","Florida Keys","MOTE",NA,"ceramic","14-4",NA,NA,NA,2020,"lab",0.55,NA,NA,NA,"unknown",4.4895,2.0805,NA,NA,28,"Y",0.528767123287671,NA,"treatment_1 is substrate type; treatment_2 is genet",221
"11","papke_et_al_2021","Florida Keys","MOTE",NA,"cement","14-4",NA,NA,NA,2020,"lab",0.6,NA,NA,NA,"unknown",5.0005,1.7885,NA,NA,28,"Y",0.528767123287671,NA,"treatment_1 is substrate type; treatment_2 is genet",221
"12","papke_et_al_2021","Florida Keys","MOTE",NA,"ceramic","14-5",NA,NA,NA,2020,"lab",0.55,NA,NA,NA,"unknown",4.088,1.4965,NA,NA,26,"Y",0.528767123287671,NA,"treatment_1 is substrate type; treatment_2 is genet",221
"13","papke_et_al_2021","Florida Keys","MOTE",NA,"cement","14-5",NA,NA,NA,2020,"lab",0.61,NA,NA,NA,"unknown",4.964,1.606,NA,NA,30,"Y",0.528767123287671,NA,"treatment_1 is substrate type; treatment_2 is genet",221
"14","papke_et_al_2021","Florida Keys","MOTE",NA,"ceramic","XA",NA,NA,NA,2020,"lab",0.49,NA,NA,NA,"unknown",2.7375,0.6935,NA,NA,27,"Y",0.528767123287671,NA,"treatment_1 is substrate type; treatment_2 is genet",221
"15","papke_et_al_2021","Florida Keys","MOTE",NA,"cement","XA",NA,NA,NA,2020,"lab",0.52,NA,NA,NA,"unknown",2.92,0.876,NA,NA,26,"Y",0.528767123287671,NA,"treatment_1 is substrate type; treatment_2 is genet",221
