region,year,winter_sst_c,winter_anomaly_c,baseline_mean_c,data_source
Curacao,2000,NA,NA,NA,synthetic_placeholder
Curacao,2001,NA,NA,NA,synthetic_placeholder
Curacao,2002,NA,NA,NA,synthetic_placeholder
Curacao,2003,NA,NA,NA,synthetic_placeholder
Curacao,2004,NA,NA,NA,synthetic_placeholder
Curacao,2005,NA,NA,NA,synthetic_placeholder
Curacao,2006,NA,NA,NA,synthetic_placeholder
Curacao,2007,NA,NA,NA,synthetic_placeholder
Curacao,2008,NA,NA,NA,synthetic_placeholder
Curacao,2009,NA,NA,NA,synthetic_placeholder
Curacao,2010,NA,NA,NA,synthetic_placeholder
Curacao,2011,NA,NA,NA,synthetic_placeholder
Curacao,2012,NA,NA,NA,synthetic_placeholder
Curacao,2013,NA,NA,NA,synthetic_placeholder
Curacao,2014,NA,NA,NA,synthetic_placeholder
Curacao,2015,NA,NA,NA,synthetic_placeholder
Curacao,2016,NA,NA,NA,synthetic_placeholder
Curacao,2017,NA,NA,NA,synthetic_placeholder
Curacao,2018,NA,NA,NA,synthetic_placeholder
Curacao,2019,NA,NA,NA,synthetic_placeholder
Curacao,2020,NA,NA,NA,synthetic_placeholder
Curacao,2021,NA,NA,NA,synthetic_placeholder
Curacao,2022,NA,NA,NA,synthetic_placeholder
Curacao,2023,NA,NA,NA,synthetic_placeholder
Curacao,2024,NA,NA,NA,synthetic_placeholder
Dominican Republic,2000,NA,NA,NA,synthetic_placeholder
Dominican Republic,2001,NA,NA,NA,synthetic_placeholder
Dominican Republic,2002,NA,NA,NA,synthetic_placeholder
Dominican Republic,2003,NA,NA,NA,synthetic_placeholder
Dominican Republic,2004,NA,NA,NA,synthetic_placeholder
Dominican Republic,2005,NA,NA,NA,synthetic_placeholder
Dominican Republic,2006,NA,NA,NA,synthetic_placeholder
Dominican Republic,2007,NA,NA,NA,synthetic_placeholder
Dominican Republic,2008,NA,NA,NA,synthetic_placeholder
Dominican Republic,2009,NA,NA,NA,synthetic_placeholder
Dominican Republic,2010,NA,NA,NA,synthetic_placeholder
Dominican Republic,2011,NA,NA,NA,synthetic_placeholder
Dominican Republic,2012,NA,NA,NA,synthetic_placeholder
Dominican Republic,2013,NA,NA,NA,synthetic_placeholder
Dominican Republic,2014,NA,NA,NA,synthetic_placeholder
