Category,Metric,Value,Units,95% CI Lower,95% CI Upper,Notes
Database,Total survival observations,5196,records,,,
Database,Total growth observations,4344,records,,,
Database,Number of studies,7,studies,,,
Database,Geographic regions,7,regions,,,
Database,Temporal coverage,2004-2024,years,,,
Population Model,Lambda (growth rate),0.986,,0.741,1.029,Population declining ~1.4%/year
Population Model,P(decline),80.4,%,,,80.4% of bootstrap replicates show decline
Population Model,Elasticity - SC5 adult survival,56.9,%,,,Most critical parameter for recovery
Population Model,Elasticity - SC4 survival,11.4,%,,,
Population Model,Elasticity - Growth transitions,14.5,%,,,
Survival by Size,SC1 (0-10 cm2) survival,72.4,%,,,n=366
Survival by Size,SC2 (10-100 cm2) survival,64.4,%,,,n=1342
Survival by Size,SC3 (100-900 cm2) survival,76.8,%,,,n=920
Survival by Size,SC4 (900-4000 cm2) survival,87.6,%,,,n=837
Survival by Size,SC5 (>4000 cm2) survival,93.7,%,,,n=1731
Survival by Region,Florida Keys,79.3,%,,,n=4072
Survival by Region,Curacao,84.6,%,,,n=856
Survival by Region,Navassa,92.2,%,,,n=102
Survival by Region,USVI,65.2,%,,,n=46
Survival by Region,Dominican Republic,86.4,%,,,n=44
Growth,SC1 mean growth,53.3,cm2/year,,,n=299; 88.6% positive growth
Growth,SC2 mean growth,61.1,cm2/year,,,n=890; 86.3% positive growth
Growth,SC3 mean growth,91.2,cm2/year,,,n=641; 68.3% positive growth
Growth,SC4 mean growth,306.0,cm2/year,,,n=661; 69.9% positive growth
Growth,SC5 mean growth,356.0,cm2/year,,,n=1553; 71.0% positive growth
Growth,Overall % positive growth,75.1,%,,,After excluding impossible values
Growth,% corals shrinking,7-28,%,,,Varies by size class
Growth,Records excluded (impossible),300,records,,,6.9% had losses > initial size
Growth Rate Analysis,AGR R-squared,1.5,%,,,Absolute growth poorly predicted by size
Growth Rate Analysis,RGR R-squared,33.9,%,,,Relative growth well predicted by size
Growth Rate Analysis,RGR 22x better predictor,22,fold,,,RGR explains 22x more variance than AGR
Growth Rate Analysis,SC1 mean RGR,2.58,yr-1,,,Can double size annually
Growth Rate Analysis,SC2 mean RGR,1.15,yr-1,,,~100% size increase per year
