"model","excluded_study","n_test","rmse","mae","r_squared"
"Linear AGR","NOAA_survey",3466,4219.29315856349,1556.34946101997,-0.00194079033975458
"Quadratic AGR","NOAA_survey",3466,4213.3402049889,1565.65447787977,0.000884469322113057
"GAM AGR (k=10)","NOAA_survey",3466,4221.89258179745,1543.91973600635,-0.00317572252022136
"Linear AGR","pausch_et_al_2018",557,77.0839988644096,65.2978466218693,-1.13926693366956
"Quadratic AGR","pausch_et_al_2018",557,91.7446600904239,69.0644930703633,-2.03038702371736
"GAM AGR (k=10)","pausch_et_al_2018",557,128.895089269934,93.3606651452338,-4.98148818161853
"Linear AGR","USGS_USVI_exp",30,140.877649540357,124.631565883344,-2.31150606772957
"Quadratic AGR","USGS_USVI_exp",30,158.900778946156,132.091776270072,-3.21301895732646
"GAM AGR (k=10)","USGS_USVI_exp",30,182.154758363591,140.543501193459,-4.53633552485367
"Linear AGR","kuffner_et_al_2020",43,151.710100513763,145.369693388074,-31.0635126579354
"Quadratic AGR","kuffner_et_al_2020",43,270.256425132569,252.677185042908,-100.749940110598
"GAM AGR (k=10)","kuffner_et_al_2020",43,88.6890787532693,75.9717732381233,-9.9577753931779
"Linear AGR","mendoza_quiroz_et_al_2023",52,256.993825497979,190.433232846328,-0.168719686613879
"Quadratic AGR","mendoza_quiroz_et_al_2023",52,411.897235584416,326.958401750562,-2.00222153464025
"GAM AGR (k=10)","mendoza_quiroz_et_al_2023",52,267.77714792447,177.899765583262,-0.268855026737354
"Linear AGR","fundemar_fragments",177,100.72619700712,89.4841964393345,-3.72141061473453
"Quadratic AGR","fundemar_fragments",177,264.899672376887,230.971418940407,-31.6550039121303
"GAM AGR (k=10)","fundemar_fragments",177,115.770527782746,91.6793215833025,-5.2371031160136
"Linear AGR","neely_et_al_2022",1570,2344.96281552479,859.595367070207,-0.00880989483749461
"Quadratic AGR","neely_et_al_2022",1570,2345.59024967257,864.401324352303,-0.00934981508886756
"GAM AGR (k=10)","neely_et_al_2022",1570,2476.01920788191,895.885250225483,-0.124722624518069
