size_class,region,n,gap_status
SC1,Curacao,4,CRITICAL GAP
SC1,Dominican Republic,2,CRITICAL GAP
SC1,Dry Tortugas,3,CRITICAL GAP
SC1,Florida Keys,75,MINOR GAP
SC1,Mexican Caribbean,9,CRITICAL GAP
SC1,Navassa,0,NO DATA
SC1,USVI,1,CRITICAL GAP
SC2,Curacao,68,MINOR GAP
SC2,Dominican Republic,42,MINOR GAP
SC2,Dry Tortugas,21,MODERATE GAP
SC2,Mexican Caribbean,22,MODERATE GAP
SC2,Navassa,16,MODERATE GAP
SC2,USVI,34,MINOR GAP
SC3,Dominican Republic,0,NO DATA
SC3,Dry Tortugas,0,NO DATA
SC3,Mexican Caribbean,17,MODERATE GAP
SC3,Navassa,22,MODERATE GAP
SC3,USVI,11,MODERATE GAP
SC4,Dominican Republic,0,NO DATA
SC4,Dry Tortugas,0,NO DATA
SC4,Mexican Caribbean,4,CRITICAL GAP
SC4,Navassa,22,MODERATE GAP
SC4,USVI,0,NO DATA
SC5,Dominican Republic,0,NO DATA
SC5,Dry Tortugas,0,NO DATA
SC5,Mexican Caribbean,0,NO DATA
SC5,Navassa,42,MINOR GAP
SC5,USVI,0,NO DATA
