size_class,disturbance_state,n,n_survived,survival_rate,ci_lower,ci_upper
SC1,No curated disturbance,1,0,0,0,0.7934506856227624
SC1,Context-only pressure,103,56,0.5436893203883495,0.4476593463255318,0.6365776165476931
SC1,Acute baseline-exclusion,25,12,0.48,0.30031285954112974,0.6650148304964322
SC2,No curated disturbance,15,10,0.6666666666666666,0.41713547738519785,0.8482367556028527
SC2,Context-only pressure,905,594,0.656353591160221,0.6248090928778326,0.6865763498232723
SC2,Acute baseline-exclusion,187,127,0.679144385026738,0.6092113708074954,0.741865383761595
SC3,No curated disturbance,53,43,0.8113207547169812,0.6864154091329746,0.8941467489231409
SC3,Context-only pressure,1485,1125,0.7575757575757576,0.7351327061883839,0.7786896322934809
SC3,Acute baseline-exclusion,349,280,0.8022922636103151,0.7573147685256609,0.8406875203925053
SC4,No curated disturbance,91,72,0.7912087912087912,0.6967681450525728,0.862059193318519
SC4,Context-only pressure,1118,984,0.8801431127012522,0.8597908960408589,0.8978919238591472
SC4,Acute baseline-exclusion,250,226,0.904,0.8611341747864028,0.934638119221278
SC5,No curated disturbance,193,162,0.8393782383419689,0.7810347764782521,0.8844754304915605
SC5,Context-only pressure,957,913,0.9540229885057471,0.9388414082967572,0.9655741870362985
SC5,Acute baseline-exclusion,409,401,0.980440097799511,0.9618831750414271,0.9900561023815032
