dhw_band,size_class,n,n_surv,survival,ci_lower,ci_upper
Moderate (DHW<10),SC1,49,28,0.5714285714285716,0.4327049309001736,0.699766809211184
Moderate (DHW<10),SC2,349,246,0.7048710601719198,0.6549979817074109,0.7502831904030053
Moderate (DHW<10),SC3,566,472,0.8339222614840988,0.8010328802022235,0.8623095181944878
Moderate (DHW<10),SC4,454,417,0.9185022026431718,0.8896847180480071,0.9402969113544551
Moderate (DHW<10),SC5,500,476,0.952,0.92957280316411,0.9675347930586469
Severe (DHW>=10),SC1,1,0,0,0,0.7934506856227624
Severe (DHW>=10),SC2,14,3,0.2142857142857143,0.07571386712693184,0.47589230586600284
Severe (DHW>=10),SC3,17,11,0.6470588235294118,0.4130036348521871,0.8269027960275628
Severe (DHW>=10),SC4,17,9,0.5294117647058824,0.30963235060004446,0.7383489355759056
Severe (DHW>=10),SC5,27,20,0.7407407407407407,0.5532142868544692,0.8682962543809281
