dist_type,size_class,n,n_surv,survival,ci_lower,ci_upper
none,SC1,117,65,0.5555555555555557,0.46517619468335025,0.6424027780207905
none,SC2,915,684,0.7475409836065573,0.71839772585916,0.7746144207427273
none,SC3,1564,1321,0.8446291560102297,0.825833464344601,0.861736056116259
none,SC4,1209,1116,0.9230769230769229,0.9066805342615594,0.9367932706285818
none,SC5,1237,1190,0.9620048504446239,0.9498412512326724,0.9713078543801563
disease,SC1,16,6,0.375,0.1848123255886364,0.6135895945449727
disease,SC2,222,69,0.3108108108108111,0.2535811236766304,0.3744765392580947
disease,SC3,371,183,0.4932614555256072,0.4427183101431832,0.5439427171195675
disease,SC4,251,176,0.7011952191235064,0.6418819420491226,0.7544428964107899
disease,SC5,154,136,0.8831168831168831,0.8228115653791813,0.9247740238673453
storm,SC1,2,2,1,0.3423802275066532,1
storm,SC2,51,38,0.7450980392156863,0.6113171816155626,0.844542318434177
storm,SC3,134,111,0.8283582089552239,0.7555980872172323,0.8828165142596098
storm,SC4,130,109,0.8384615384615385,0.765645521979208,0.8918488058276386
storm,SC5,247,219,0.8866396761133605,0.8410411751935608,0.9203959528552367
