region,k,n,pooled_survival,ci_lower,ci_upper,I_sq,tau_sq
Bahamas,1,24,0.9583333333333334,0.7564545466020751,0.9941627990143002,NA,NA
British Virgin Islands,1,257,0.5330739299610895,0.4718870761103536,0.5932817642710053,NA,NA
Cuba,1,200,0.705,0.6381443376413829,0.7640702799619293,NA,NA
Dominican Republic,1,44,0.8636363636363636,0.7280602413546597,0.9374296477716105,NA,NA
Dry Tortugas,1,53,0.8113207547169812,0.6836294759597025,0.8953626292214849,NA,NA
Florida,1,3968,0.8709677419354839,0.8601729415533863,0.8810444210032884,NA,NA
Florida Keys,3,1044,0.7039638946143592,0.3412172913434809,0.9160896717773481,80.10490624782665,0.33255478527495064
Jamaica,1,88,0.7613636363636364,0.6615022821750127,0.838937575432392,NA,NA
Puerto Rico,3,442,0.8775042969029664,0.5945174997902913,0.9722219873257472,82.68328475323827,0.3525433695043022
US Virgin Islands,2,242,0.7877387370402781,4.537963670969981e-8,0.9999999967051312,96.49464450530803,3.9714863379735266
USVI,2,91,0.6700687420491372,0.4140274000960542,0.8537514880581016,0,0
Virgin Gorda,1,27,0.9629629629629629,0.7791568839565767,0.9948080126643604,NA,NA
