study,region,data_type,n,mean_growth,sd_growth,se_growth,ci_lower,ci_upper,mean_size,data_source
schutter_et_al_2023,Bahamas,lab,136,0.0110188679245283,NA,NA,NA,NA,0.0115,summary
schutter_et_al_2023,Bahamas,nursery,6,0.0218636363636364,NA,NA,NA,NA,0.011500000000000002,summary
NOAA_survey,Curacao,field,710,-0.9009817434212584,4441.709272107576,166.69437859818302,-327.62196379586,325.8200003090175,6098.10263380282,individual
chamberland_et_al_2015,Curacao,field,9,6.45843562712208,NA,NA,NA,NA,0.00785398163397448,summary
chamberland_et_al_2015,Curacao,lab,1,4.9874678851866,NA,NA,NA,NA,0.00785398163397448,summary
fundemar_fragments,Dominican Republic,NA,177,78.29723564374402,46.48757054182797,3.494219774926631,71.44856488488782,85.14590640260022,25.922694915254237,individual
fundemar_recruits,Dominican Republic,field,115,0.04296993165250079,NA,0.017871146135857895,0.00794248522621932,0.07799737807878226,0.00595684347826087,summary
kuffner_et_al_2020,Dry Tortugas,field,24,57.6471875,16.569160610061417,3.3821657467393758,51.01814263639083,64.27623236360918,20.333333333333332,individual
NOAA_survey,Florida Keys,field,2662,-277.79669792712934,4205.588440901704,81.51222439064712,-437.5606577327977,-118.032738121461,4520.414737039848,individual
kuffner_et_al_2020,Florida Keys,field,19,10.882763157894736,8.694317903998535,1.994613322449788,6.973321045893152,14.792205269896321,15.289473684210526,individual
neely_et_al_2022,Florida Keys,field,1570,38.74446500478258,2335.445022105042,58.94131514808174,-76.78051268545762,154.2694426950228,2602.4979384288745,individual
papke_et_al_2021,Florida Keys,lab,221,4.570427601809954,NA,0.44296162168024894,3.7022228233166663,5.438632380303242,0.566289592760181,summary
pausch_et_al_2018,Florida Keys,field,557,60.34186600794738,52.74993744337408,2.235086582042805,55.961096307143485,64.72263570875128,61.548545780969434,individual
mendoza_quiroz_et_al_2023,Mexican Caribbean,field,35,30.372640565136383,293.7309351107107,49.64958991084059,-66.94055566011117,127.68583679038393,296.0927606488565,individual
mendoza_quiroz_et_al_2023,Mexican Caribbean,NA,17,13.466604983880076,10.805153480810013,2.6206346530817655,8.330161063839817,18.603048903920335,10.417948326746927,individual
mendoza_quiroz_et_al_2023,Mexican Caribbean,lab,5,2.31717066666667,NA,NA,NA,NA,0.04629,summary
NOAA_survey,Navassa,field,94,826.052218528142,2042.6323842564343,210.6814439418342,413.116588402147,1238.987848654137,6638.260319148937,individual
USGS_USVI_exp,US Virgin Islands,field,30,100.69166666666666,78.73919092028828,14.375743675582617,72.51520906252473,128.8681242708086,73.47583333333334,individual
