survey_yr,n,mean_growth
2004,1,-33.3502538071066
2005,176,453.729651281434
2006,142,-4101.392483734866
2007,226,865.847286781927
2008,224,292.17740592983284
2009,216,-931.5931831931096
2010,352,170.3240403031469
2011,603,231.76473018568768
2012,893,212.8347144671788
2013,677,-198.83896941025145
2014,573,182.78881524116633
2015,502,-290.84005806517644
2016,607,-3.9434526326934534
2017,120,-860.2507515882467
2018,100,-2565.8247290249606
2019,138,-35.23307911976289
2020,16,53.86875
2021,207,73.14884400455406
2022,73,401.7785815712085
2023,45,-6.035132254205115
2024,4,624.8452380952388
