"n","d","power"
10,0.1,0.0500331529232208
20,0.1,0.0500663071916276
50,0.1,0.0501657780639579
100,0.1,0.0503315897175125
200,0.1,0.0506633135932589
500,0.1,0.0516592861716908
10,0.2,0.0501326197623967
20,0.2,0.0502652610285425
50,0.2,0.0506633135932589
100,0.2,0.0513271622197377
200,0.2,0.0526564517987814
500,0.2,0.0566568304600074
10,0.3,0.0502984247020364
20,0.3,0.0505969581046588
50,0.3,0.0514932076007186
100,0.3,0.0529891036052836
200,0.3,0.0559888160135225
500,0.3,0.0650487414435804
10,0.4,0.0505306079695843
20,0.4,0.0510615587698019
50,0.4,0.0526564517987814
100,0.4,0.0553213112320468
200,0.4,0.0606754447350321
500,0.4,0.0769189275958916
10,0.5,0.0508292257154414
20,0.5,0.0516592861716908
50,0.5,0.0541544137152954
100,0.5,0.0583290757703316
200,0.5,0.0667360879049686
500,0.5,0.0923654595084316
10,0.6,0.0511943498452494
20,0.6,0.05239042491877
50,0.6,0.0559888160135225
100,0.6,0.0620189185908833
200,0.6,0.0741939507822272
500,0.6,0.111482979715092
10,0.7,0.0516260678046893
20,0.7,0.0532553193679346
50,0.7,0.0581617101734421
100,0.7,0.0663983869734331
200,0.7,0.0830741462197556
500,0.7,0.134342568453004
10,0.8,0.0521244823171225
20,0.8,0.0542543715423424
50,0.8,0.0606754447350321
100,0.8,0.0714758102907869
200,0.8,0.0934019039782426
500,0.8,0.160970735469475
10,0.9,0.0526897110744695
20,0.9,0.0553880386856336
50,0.9,0.0635326283468804
100,0.9,0.0772600209613221
200,0.9,0.105200594403145
500,0.9,0.191329358289279
10,1,0.0533218863817951
20,1,0.0566568304600074
50,1,0.0667360879049686
100,1,0.0837600445609415
200,1,0.118489631136593
500,1,0.225298401744685
