year,median,mean,ci_lower,ci_upper,pi_lower,pi_upper,scenario,return_interval,label,sim_type,pct_initial_median,pct_initial_mean
0,210,210,210,210,210,210,baseline,0,baseline_no_heatwave,monte_carlo,100,100
1,154.79170782055604,153.45036156166074,139.1954989191383,165.79858841244737,142.82058586935105,161.6178567934816,baseline,0,baseline_no_heatwave,monte_carlo,73.71033705740764,73.07160074364796
2,120.94511264518601,119.16560899178279,97.80163411926193,138.75690334166134,102.96142902386502,131.84742167043163,baseline,0,baseline_no_heatwave,monte_carlo,57.592910783421914,56.745528091325134
3,99.07923661890256,97.26511634622305,72.04826314104504,121.7536720852327,77.82372446222695,112.7736538156936,baseline,0,baseline_no_heatwave,monte_carlo,47.18058886614408,46.316722069630025
4,84.36653817609204,82.71480062199447,55.16923450636534,111.04596652559117,61.142432269660034,100.26212978369347,baseline,0,baseline_no_heatwave,monte_carlo,40.17454198861525,39.38800029618784
5,74.09941791643173,72.72069330323045,43.574276000803124,104.46733137968096,49.548487578368764,91.94396009544656,baseline,0,baseline_no_heatwave,monte_carlo,35.285437103062726,34.62890157296688
6,66.66877783891832,65.63850828715212,35.25569836290926,100.67493202621681,41.13213242948147,86.37193113356216,baseline,0,baseline_no_heatwave,monte_carlo,31.747037066151577,31.256432517691486
7,61.082244726289346,60.46206764764223,29.04798768724286,98.79773514176728,34.770973269159136,82.62412382730614,baseline,0,baseline_no_heatwave,monte_carlo,29.086783202994926,28.79146078459154
8,56.71355493850307,56.55949749062686,24.254088617116977,98.25440314564636,29.78734924892756,80.09778507154975,baseline,0,baseline_no_heatwave,monte_carlo,27.00645473262051,26.93309404315565
9,53.161872009452864,53.526879509930176,20.445520554293807,98.65033617407747,25.762522368463053,78.39270933313173,baseline,0,baseline_no_heatwave,monte_carlo,25.315177147358508,25.488990242823895
10,50.16835786797507,51.10262616999289,17.351235413048823,99.71519542182133,22.431645510639342,77.24085680460146,baseline,0,baseline_no_heatwave,monte_carlo,23.88969422284527,24.334583890472807
11,47.56483823394302,49.11550526557579,14.794215554554624,101.26296512181051,19.622774085983373,76.46188917975874,baseline,0,baseline_no_heatwave,monte_carlo,22.649922968544296,23.388335840750376
12,45.241472841034415,47.452306872318886,12.654670669664071,103.16550534610214,17.22083670833787,75.9342230192527,baseline,0,baseline_no_heatwave,monte_carlo,21.543558495730675,22.596336605866135
13,43.12611153324,46.03740517409099,10.84839278765816,105.33464540219705,15.146104562473578,75.57583494809255,baseline,0,baseline_no_heatwave,monte_carlo,20.53624358725714,21.922573892424282
14,41.17101066259592,44.81970358154509,9.313875063778747,107.70990106584644,13.341212870205363,75.3313983530243,baseline,0,baseline_no_heatwave,monte_carlo,19.605243172664725,21.34271599121195
15,39.34425217937256,43.76423705465755,8.004546807489907,110.24999002704678,11.763274151885923,75.16361514356694,baseline,0,baseline_no_heatwave,monte_carlo,18.7353581806536,20.84011288317026
16,37.62419125929134,42.84674263711629,6.8840179510621535,112.92695146760933,10.3790412154334,75.04735976298603,baseline,0,baseline_no_heatwave,monte_carlo,17.916281552043493,20.403210779579187
