scenario,return_interval_yr,effective_lambda,p_quasi_extinction_50yr,pop_yr10_median_pct,pop_yr20_median_pct,pop_yr50_median_pct,pop_yr50_ci_lower,pop_yr50_ci_upper,dhw,description,heatwave_mortality
baseline,0,0.9328531738374701,0.708,23.95548922886664,15.704682542051914,4.767637571160115,0.005033176372451961,124.74821608921232,0,No heatwave (chronic regime only),0.08758117339829134
moderate_bleaching,5,0.8088959722855403,1,5.524306617332121,0.8351694869976463,0.0031093301861922734,6.928709290006781e-5,0.1030936792992427,8,"Moderate bleaching (~8 DHW, ~ED50)",0.5150181290707021
moderate_bleaching,10,0.8680416381592956,1,11.546499586298575,3.6485670261157703,0.12403818625082041,1.0261686859784958e-4,2.775008937673227,8,"Moderate bleaching (~8 DHW, ~ED50)",0.5150181290707021
moderate_bleaching,20,0.9085234303649486,0.95,23.514683312059628,7.3387761712707915,1.0219570782476257,0.009816297288151385,28.571055983762275,8,"Moderate bleaching (~8 DHW, ~ED50)",0.5150181290707021
moderate_bleaching,50,0.9187128384876635,0.878,23.39226272862917,14.975108257239006,2.053189314563068,9.463359833750311e-4,55.00320893776477,8,"Moderate bleaching (~8 DHW, ~ED50)",0.5150181290707021
severe_bleaching,5,0.6919358134844013,1,1.1866647469294378,0.03853675442900344,1.4220603549364691e-6,1.3547481886864784e-9,3.129642532754e-5,12,Severe bleaching (~12 DHW),0.7793534248803393
severe_bleaching,10,0.8032984730095446,1,5.328702113791554,0.7770734657865503,0.0025964887003759214,3.833714510220414e-6,0.08153884963107191,12,Severe bleaching (~12 DHW),0.7793534248803393
severe_bleaching,20,0.8762560907505339,0.998,23.055661378103682,3.2097603504262215,0.19167790920414288,3.092719215307945e-5,5.913841279949388,12,Severe bleaching (~12 DHW),0.7793534248803393
severe_bleaching,50,0.9063017479319687,0.952,23.443488888833638,15.040561703548805,0.9442595058527976,0.003474573805183865,27.65094905270847,12,Severe bleaching (~12 DHW),0.7793534248803393
catastrophic_2023,5,0.5013660266872224,1,0.04780104680757488,6.253078349530683e-5,1.5082206249196355e-13,2.856553744253471e-17,3.369917034864604e-12,18,"Catastrophic 2023-scale (~18 DHW, ~ED95)",0.9554095404489275
catastrophic_2023,10,0.6850143553577913,1,1.0826426314306703,0.03207670304255588,8.988922867940258e-7,1.3098436311378127e-9,1.7094038937778955e-5,18,"Catastrophic 2023-scale (~18 DHW, ~ED95)",0.9554095404489275
catastrophic_2023,20,0.8246605465207545,1,23.629026840622895,0.681322438799663,0.008850974446620946,9.163661209231333e-6,0.24812891105935525,18,"Catastrophic 2023-scale (~18 DHW, ~ED95)",0.9554095404489275
catastrophic_2023,50,0.8753756430631578,0.994,23.12155013579566,14.630290387901642,0.1780756296071856,2.5542603265262583e-4,4.6328061663972715,18,"Catastrophic 2023-scale (~18 DHW, ~ED95)",0.9554095404489275
