region,total_storms_200km,total_direct_hits_50km,hurricanes_cat1plus,major_hurricanes_cat3plus,strongest_storm,strongest_wind_kt,first_year,last_year
Virgin Gorda,54,8,18,10,IRMA,155,1979,2025
British Virgin Islands,52,10,18,10,IRMA,150,1979,2025
Dry Tortugas,49,10,18,6,MILTON,125,1979,2024
US Virgin Islands,49,11,15,8,IRMA,155,1979,2024
Mexican Caribbean,48,10,14,6,ALLEN,160,1979,2024
St. Croix,48,13,15,8,IRMA,155,1979,2024
Cuba,44,10,16,6,GUSTAV,132,1979,2024
Florida Keys Lower,44,8,12,4,ANDREW,115,1980,2024
Bahamas,43,5,15,5,DORIAN,160,1979,2025
Florida Keys Upper,40,10,9,2,ANDREW,145,1979,2022
Puerto Rico,38,7,13,5,IRMA,150,1979,2024
Dominican Republic,34,11,10,5,DAVID,150,1979,2022
Navassa,31,5,12,6,ALLEN,128,1979,2024
Jamaica,28,7,10,7,IVAN,131,1979,2025
Curacao,14,4,3,2,IVAN,130,1985,2023
