dhw,mortality,survival,source,species,ED50_dhw,ED95_dhw,logistic_slope
0,0.08758117339829134,0.9124188266017087,Manzello_et_al_2025,Acropora_palmata,7.8,17.6,0.3004529570578001
0.5,0.10035317221169236,0.8996468277883076,Manzello_et_al_2025,Acropora_palmata,7.8,17.6,0.3004529570578001
1,0.11475346746644302,0.885246532533557,Manzello_et_al_2025,Acropora_palmata,7.8,17.6,0.3004529570578001
1.5,0.1309194426806163,0.8690805573193837,Manzello_et_al_2025,Acropora_palmata,7.8,17.6,0.3004529570578001
2,0.14897954489029963,0.8510204551097004,Manzello_et_al_2025,Acropora_palmata,7.8,17.6,0.3004529570578001
2.5,0.16904640717744243,0.8309535928225575,Manzello_et_al_2025,Acropora_palmata,7.8,17.6,0.3004529570578001
3,0.1912088879622996,0.8087911120377004,Manzello_et_al_2025,Acropora_palmata,7.8,17.6,0.3004529570578001
3.5,0.21552332224806384,0.7844766777519362,Manzello_et_al_2025,Acropora_palmata,7.8,17.6,0.3004529570578001
4,0.24200448002439726,0.7579955199756028,Manzello_et_al_2025,Acropora_palmata,7.8,17.6,0.3004529570578001
4.5,0.27061693602128395,0.729383063978716,Manzello_et_al_2025,Acropora_palmata,7.8,17.6,0.3004529570578001
5,0.30126773687486486,0.6987322631251351,Manzello_et_al_2025,Acropora_palmata,7.8,17.6,0.3004529570578001
5.5,0.33380135946187517,0.6661986405381248,Manzello_et_al_2025,Acropora_palmata,7.8,17.6,0.3004529570578001
6,0.367997937814721,0.632002062185279,Manzello_et_al_2025,Acropora_palmata,7.8,17.6,0.3004529570578001
6.5,0.40357555649620047,0.5964244435037995,Manzello_et_al_2025,Acropora_palmata,7.8,17.6,0.3004529570578001
7,0.44019705334885567,0.5598029466511443,Manzello_et_al_2025,Acropora_palmata,7.8,17.6,0.3004529570578001
7.5,0.4774812722325934,0.5225187277674066,Manzello_et_al_2025,Acropora_palmata,7.8,17.6,0.3004529570578001
8,0.5150181290707021,0.4849818709292979,Manzello_et_al_2025,Acropora_palmata,7.8,17.6,0.3004529570578001
8.5,0.5523863082179388,0.44761369178206123,Manzello_et_al_2025,Acropora_palmata,7.8,17.6,0.3004529570578001
9,0.5891720054446258,0.4108279945553742,Manzello_et_al_2025,Acropora_palmata,7.8,17.6,0.3004529570578001
9.5,0.6249869694170093,0.37501303058299074,Manzello_et_al_2025,Acropora_palmata,7.8,17.6,0.3004529570578001
10,0.6594842040562844,0.3405157959437156,Manzello_et_al_2025,Acropora_palmata,7.8,17.6,0.3004529570578001
10.5,0.6923700535431404,0.3076299464568596,Manzello_et_al_2025,Acropora_palmata,7.8,17.6,0.3004529570578001
11,0.7234119178068785,0.2765880821931215,Manzello_et_al_2025,Acropora_palmata,7.8,17.6,0.3004529570578001
11.5,0.7524414266254948,0.24755857337450515,Manzello_et_al_2025,Acropora_palmata,7.8,17.6,0.3004529570578001
12,0.7793534248803393,0.22064657511966068,Manzello_et_al_2025,Acropora_palmata,7.8,17.6,0.3004529570578001
12.5,0.8041015096298115,0.19589849037018847,Manzello_et_al_2025,Acropora_palmata,7.8,17.6,0.3004529570578001
13,0.8266910744440777,0.17330892555592226,Manzello_et_al_2025,Acropora_palmata,7.8,17.6,0.3004529570578001
13.5,0.847170862919157,0.152829137080843,Manzello_et_al_2025,Acropora_palmata,7.8,17.6,0.3004529570578001
14,0.8656239465319068,0.13437605346809323,Manzello_et_al_2025,Acropora_palmata,7.8,17.6,0.3004529570578001
14.5,0.8821588709528909,0.11784112904710908,Manzello_et_al_2025,Acropora_palmata,7.8,17.6,0.3004529570578001
15,0.8969015080634857,0.10309849193651432,Manzello_et_al_2025,Acropora_palmata,7.8,17.6,0.3004529570578001
15.5,0.9099879468822574,0.09001205311774263,Manzello_et_al_2025,Acropora_palmata,7.8,17.6,0.3004529570578001
16,0.9215585804837302,0.07844141951626982,Manzello_et_al_2025,Acropora_palmata,7.8,17.6,0.3004529570578001
16.5,0.9317534098548327,0.06824659014516732,Manzello_et_al_2025,Acropora_palmata,7.8,17.6,0.3004529570578001
17,0.9407084914632285,0.05929150853677145,Manzello_et_al_2025,Acropora_palmata,7.8,17.6,0.3004529570578001
17.5,0.9485533986711979,0.05144660132880208,Manzello_et_al_2025,Acropora_palmata,7.8,17.6,0.3004529570578001
18,0.9554095404489275,0.04459045955107255,Manzello_et_al_2025,Acropora_palmata,7.8,17.6,0.3004529570578001
18.5,0.9613891758282446,0.03861082417175543,Manzello_et_al_2025,Acropora_palmata,7.8,17.6,0.3004529570578001
19,0.9665949716436223,0.03340502835637771,Manzello_et_al_2025,Acropora_palmata,7.8,17.6,0.3004529570578001
19.5,0.9711199682242447,0.028880031775755266,Manzello_et_al_2025,Acropora_palmata,7.8,17.6,0.3004529570578001
20,0.9750478383271235,0.024952161672876505,Manzello_et_al_2025,Acropora_palmata,7.8,17.6,0.3004529570578001
20.5,0.9784533456987019,0.021546654301298096,Manzello_et_al_2025,Acropora_palmata,7.8,17.6,0.3004529570578001
21,0.9814029293686813,0.018597070631318657,Manzello_et_al_2025,Acropora_palmata,7.8,17.6,0.3004529570578001
21.5,0.9839553571415077,0.016044642858492275,Manzello_et_al_2025,Acropora_palmata,7.8,17.6,0.3004529570578001
22,0.9861624063870092,0.01383759361299075,Manzello_et_al_2025,Acropora_palmata,7.8,17.6,0.3004529570578001
22.5,0.9880695421511705,0.011930457848829512,Manzello_et_al_2025,Acropora_palmata,7.8,17.6,0.3004529570578001
23,0.9897165720358629,0.01028342796413706,Manzello_et_al_2025,Acropora_palmata,7.8,17.6,0.3004529570578001
23.5,0.9911382645599365,0.008861735440063523,Manzello_et_al_2025,Acropora_palmata,7.8,17.6,0.3004529570578001
24,0.9923649231706606,0.007635076829339393,Manzello_et_al_2025,Acropora_palmata,7.8,17.6,0.3004529570578001
24.5,0.9934229120681104,0.0065770879318896025,Manzello_et_al_2025,Acropora_palmata,7.8,17.6,0.3004529570578001
25,0.994335132844182,0.005664867155818043,Manzello_et_al_2025,Acropora_palmata,7.8,17.6,0.3004529570578001
