state_from,state_to_alive,n,row_total,p_observed
SC1,SC1,23,43,0.5348837209302325
SC1,SC2,20,43,0.46511627906976744
SC2,SC1,35,596,0.0587248322147651
SC2,SC2,410,596,0.6879194630872483
SC2,SC3,151,596,0.2533557046979866
SC3,SC1,25,1230,0.02032520325203252
SC3,SC2,180,1230,0.14634146341463414
SC3,SC3,863,1230,0.7016260162601626
SC3,SC4,162,1230,0.13170731707317074
SC4,SC1,6,1157,0.005185825410544511
SC4,SC2,42,1157,0.036300777873811585
SC4,SC3,180,1157,0.15557476231633535
SC4,SC4,818,1157,0.7070008643042351
SC4,SC5,111,1157,0.09593777009507347
SC5,SC1,1,1362,7.342143906020558e-4
SC5,SC2,11,1362,0.008076358296622614
SC5,SC3,17,1362,0.012481644640234948
SC5,SC4,148,1362,0.10866372980910426
SC5,SC5,1185,1362,0.8700440528634361
