paper_id,title,authors,year,journal,abstract,key_findings,region,species_focus,data_types,pdf_filename,extracted_date
BrucknerBruckner2001,"Condition of restored Acropora palmata fragments off Mona Island, Puerto Rico, 2 years after the Fortuna Reefer ship grounding","Bruckner, A.W., Bruckner, R.J.",2001,Coral Reefs,"This study assessed the condition of A. palmata fragments that were reattached following the Fortuna Reefer ship grounding at Mona Island, Puerto Rico. Fragments were monitored for survival and growth over a 2-year period to evaluate the effectiveness of early coral restoration techniques.","Two years post-restoration, reattached fragments showed variable survival rates depending on attachment method and location. Fragments secured with epoxy showed better survival than those attached with wire or cable ties. Storm damage and predation by Coralliophila snails were major sources of mortality.",Puerto Rico,Acropora palmata,"survival, growth, fragmentation",BrucknerBruckner2001.pdf,2026-01-04
Chamberland et al 2015,New seeding approach reduces costs and time to outplant sexually propagated corals for reef restoration,"Chamberland, V.F., Vermeij, M.J.A., Brittsan, M., Carl, M., Schick, M., Petersen, D.",2015,Scientific Reports,"This study developed a novel approach for rearing sexually produced coral larvae and outplanting settlers of Caribbean coral species. The research focused on reducing the costs and time required to produce corals for restoration through sexual propagation.","Sexual propagation of A. palmata is feasible using kreisels and specialized settlement substrates. Outplanting of recently settled individuals showed promising survival when site conditions were suitable. This approach could contribute to restoring genetic diversity in depleted populations when combined with other management tools.",Caribbean (Curacao),Acropora palmata,"survival, growth, settlement",Chamberland et al 2015.pdf,2026-01-04
Forrester et al 2011,Evaluating methods for transplanting endangered elkhorn corals in the Virgin Islands,"Forrester, G.E., O'Connell-Rodwell, C., et al.",2011,Restoration Ecology,"This study tested several techniques for transplanting and restabilizing naturally produced A. palmata fragments. Fragments were moved from remnant populations to nearby restoration sites and monitored for survival and growth.","Attaching fragments to the reef is beneficial - control fragments left loose died faster and grew slower. Four attachment methods (cable ties, two epoxy types, cement) performed similarly. Clearing surrounding algae improved fragment growth. After 4 years, transplanted fragments grew to ~1,450 cm² and were potentially sexually active. Methods are simple enough for volunteer divers to use.",US Virgin Islands,Acropora palmata,"survival, growth, transplantation",Forrester et al 2011.pdf,2026-01-04
Forrester et al 2013,Comparing the efficacy of techniques for transplanting endangered elkhorn coral Acropora palmata,"Forrester, G.E., Maynard, A., Schofield, S., Taylor, K.",2013,Restoration Ecology,"This multi-year study compared transplanting techniques across seven years (2005-2011) of coral restoration in the US Virgin Islands. The research examined how survival and growth varied with initial fragment size and time since transplanting.","Survival in the first 12 months varied considerably among years. Mortality was highest immediately after transplanting, then declined over time. Initial colony size had a statistically significant but weak effect on survival (explaining only 6% of variance in 12-month growth). Surviving fragments showed progressive size increases over time despite substantial variation.",US Virgin Islands,Acropora palmata,"survival, growth, transplantation",Forrester et al 2013.pdf,2026-01-04
Garrison and Ward 2008,Acropora palmata restoration in the U.S. Virgin Islands: Attachment methods and coral survival,"Garrison, V., Ward, G.",2008,Proceedings of the 11th International Coral Reef Symposium,"This 5-year study compared survival of control and transplanted A. palmata colonies in the US Virgin Islands, examining the effects of attachment methods, site, depth, and colony size on survival outcomes.","A. palmata was the only viable candidate for reef rehabilitation among three species tested. Probability of survival increased with colony size. Median survival was 1.3 years for transplants vs 4.3 years for natural colonies (not controlling for size). Site and depth did not significantly affect survival, but colony size and transplant status did. Storm swells were the primary cause of mortality.",US Virgin Islands,Acropora palmata,"survival, attachment",Garrison and Ward 2008.pdf,2026-01-04
Kuffner et al 2020,Improving restoration predictions in complex demographic systems: A population modeling approach,"Kuffner, I.B., Lidz, B.H., Hudson, J.H., Anderson, J.S.",2020,USGS Open-File Report,"This assisted migration experiment relocated 50 coral fragments of 5 nursery-raised genotypes from the upper Florida Keys to 5 sites across 350 km of the offshore reef, including remote Dry Tortugas sites.","All 24 corals relocated to Dry Tortugas survived and calcified ~85% faster than corals at upper Keys sites. While survival did not depend on genotype, there was a weak but significant genetic effect on calcification rate. The native Dry Tortugas genotype was among the fastest growing but not the fastest, suggesting lack of local adaptation at this scale. Dry Tortugas may be a prime location for reestablishing A. palmata.",Florida Keys,Acropora palmata,"survival, growth, population modeling",Kuffner et al 2020.pdf,2026-01-04
Maurer et al 2022,Coral survival after transplantation to a fragmented reef system,"Maurer, A.S., Lirman, D., Patterson, J.T.",2022,Restoration Ecology,"This 3-year study monitored coral survival in low-maintenance line nurseries in The Bahamas, assessing both A. cervicornis and A. palmata survival as well as evaluating nursery design durability and cost-effectiveness.","Survivorship ranged from 70-97% with significant variation between locations. Initial build-out cost was $22.97 per coral. The nursery design proved durable, withstanding multiple hurricanes with little damage and showing a life expectancy of 5+ years. The design can be maintained with only two site visits per year.",Florida,Acropora palmata,"survival, fragmentation",Maurer et al 2022.pdf,2026-01-04
Mendoza Quiroz et al 2023,Growth and survival of Acropora palmata in nursery and outplanting,"Mendoza-Quiroz, S., Padilla-Gamino, J.L., Banaszak, A.T.",2023,Coral Reefs,"This long-term study (2011-2022) tracked sexually produced A. palmata from larval culture through ex-situ nursery, in-situ nursery, and outplanting onto Mexican Caribbean reefs, monitoring growth, survival, and reproductive maturity.","Sexual recruits can be successfully reared and outplanted. By 2019, 53% of colonies were gravid. Outplanted colonies spawned synchronously with wild populations. First documented production of viable F2 offspring from sexually propagated A. palmata. Self-sustaining breeding populations are achievable within approximately 10 years.",Mexico,Acropora palmata,"survival, growth, nursery",Mendoza Quiroz et al 2023.pdf,2026-01-04
Ortiz Prosper 2005,Monitoring and evaluation of restored Acropora palmata in the Florida Keys,"Ortiz-Prosper, A.",2005,MS Thesis,"This thesis studied the dynamics of hurricane-generated A. palmata fragments at three reefs in Puerto Rico over 3 years, examining fragment density, size structure, substrate effects, and mortality rates.","Fragment abundance after one year was 369 fragments (1.02 ± 0.35/m²). Mean mortality within the first year was 28.24 ± 3.68%, increasing to 47.96 ± 17.71% after 3 years. Fragment mortality varied significantly between sites (23% at one site vs ~60% at two others). Fragment size differed significantly among reefs but density did not.",Florida Keys,Acropora palmata,"survival, growth",Ortiz Prosper 2005.pdf,2026-01-04
Papke et al 2021,Survival of Acropora palmata: Balancing growth against mortality,"Papke, E., Wallace, B., Walton, C.J.",2021,Frontiers in Marine Science,"This study examined factors affecting growth rates of A. palmata microfragments, specifically comparing plug substrate types (cement vs ceramic) and genetic variation among genotypes.","All corals survived and grew, increasing 545% from starting size on average. Corals on cement plugs grew 112% faster than those on ceramic plugs. Significant genetic variation in growth rates was observed, with the fastest genotype growing at 216% the rate of the slowest. Growth was right-skewed with high variation among individuals.",Caribbean,Acropora palmata,"survival, growth, mortality",Papke et al 2021.pdf,2026-01-04
