colony_uid,study,region,population_type,n_intervals,followup_years,death_event,shrink_events,ever_shrunk,mean_timeline_events,prop_acute_exposure
NOAA_survey::BB1-t237,NOAA_survey,Curacao,Natural colony,9,9.142465753424645,0,6,1,0.7777777777777778,0
NOAA_survey::BB1-t238,NOAA_survey,Curacao,Natural colony,9,9.142465753424645,0,3,1,0.7777777777777778,0
NOAA_survey::BB1-t239,NOAA_survey,Curacao,Natural colony,9,9.142465753424645,0,1,1,0.7777777777777778,0
NOAA_survey::BB1-t240,NOAA_survey,Curacao,Natural colony,9,9.142465753424645,0,3,1,0.7777777777777778,0
NOAA_survey::BB1-t241,NOAA_survey,Curacao,Natural colony,9,9.142465753424645,0,1,1,0.7777777777777778,0
NOAA_survey::BB1-t242,NOAA_survey,Curacao,Natural colony,9,9.142465753424645,0,0,0,0.7777777777777778,0
NOAA_survey::BB1-t243,NOAA_survey,Curacao,Natural colony,9,9.142465753424645,0,2,1,0.7777777777777778,0
NOAA_survey::BB1-t244,NOAA_survey,Curacao,Natural colony,3,9.142465753424645,0,0,0,1.6666666666666667,0
NOAA_survey::BB1-t244,NOAA_survey,Curacao,Restoration fragment,6,6.136986301369856,0,3,1,0.3333333333333333,0
NOAA_survey::BB1-t245,NOAA_survey,Curacao,Natural colony,9,9.142465753424645,0,5,1,0.7777777777777778,0
NOAA_survey::BB1-t246,NOAA_survey,Curacao,Natural colony,3,3.221917808219175,1,1,1,0,0
NOAA_survey::BB1-t247,NOAA_survey,Curacao,Natural colony,1,1.09041095890411,1,0,0,0,0
NOAA_survey::BB1-t248,NOAA_survey,Curacao,Natural colony,9,9.142465753424645,0,2,1,0.7777777777777778,0
NOAA_survey::BB1-t283,NOAA_survey,Curacao,Natural colony,1,1.06575342465753,1,0,0,1,0
NOAA_survey::BB1-t395,NOAA_survey,Curacao,Natural colony,1,0.986301369863014,1,0,0,1,0
NOAA_survey::BB1-t396,NOAA_survey,Curacao,Natural colony,5,5.057534246575333,0,2,1,1.4,0
NOAA_survey::BB1-t450,NOAA_survey,Curacao,Natural colony,1,1,1,0,0,2,0
NOAA_survey::BB2-t249,NOAA_survey,Curacao,Natural colony,9,9.142465753424666,0,1,1,0.7777777777777778,0
NOAA_survey::BB2-t250,NOAA_survey,Curacao,Natural colony,3,3.224657534246575,1,0,0,0,0
NOAA_survey::BB2-t251,NOAA_survey,Curacao,Natural colony,9,9.142465753424666,0,6,1,0.7777777777777778,0
NOAA_survey::BB2-t252,NOAA_survey,Curacao,Natural colony,3,3.224657534246575,1,2,1,0,0
NOAA_survey::BB2-t253,NOAA_survey,Curacao,Natural colony,9,9.142465753424666,0,1,1,0.7777777777777778,0
NOAA_survey::BB2-t254,NOAA_survey,Curacao,Natural colony,9,9.142465753424666,0,1,1,0.7777777777777778,0
NOAA_survey::BB2-t255,NOAA_survey,Curacao,Natural colony,3,3.224657534246575,1,0,0,0,0
NOAA_survey::BB2-t256,NOAA_survey,Curacao,Natural colony,3,3.224657534246575,1,0,0,0,0
NOAA_survey::BB2-t257,NOAA_survey,Curacao,Natural colony,3,3.224657534246575,1,2,1,0,0
NOAA_survey::BB2-t258,NOAA_survey,Curacao,Natural colony,3,3.224657534246575,1,0,0,0,0
NOAA_survey::BB2-t259,NOAA_survey,Curacao,Natural colony,3,3.224657534246575,1,1,1,0,0
NOAA_survey::BB2-t260,NOAA_survey,Curacao,Natural colony,8,8.109589041095896,1,7,1,0.625,0
NOAA_survey::BB2-t261,NOAA_survey,Curacao,Natural colony,7,9.142465753424666,0,5,1,1,0
NOAA_survey::BB2-t261,NOAA_survey,Curacao,Restoration fragment,2,4.0849315068493155,0,1,1,0,0
NOAA_survey::BB2-t262,NOAA_survey,Curacao,Natural colony,3,3.224657534246575,1,1,1,0,0
NOAA_survey::BB2-t284,NOAA_survey,Curacao,Natural colony,1,2.03287671232877,1,0,0,1,0
