survey_yr,year_effect_logit,year_effect_se,n_obs,raw_survival,median_size_cm2,timeline_overlap_rate,exclude_overlap_rate,catastrophic_overlap_rate,major_overlap_rate,dominant_event,dominant_regime,low_support_year,state_id,posterior_max,regime_label
2004,-14.218139977009784,142.9009156683014,5,0,288,1,0,0,1,Coastal Eutrophication,pollution,TRUE,1,1,catastrophic
2005,0.32490016222640883,0.2756975637772618,191,0.9214659685863873,2700,1,1,0,1,2005 Hurricane Season,compound,FALSE,2,1,post_disturbance
2006,0.00339838596926756,0.26545893811842886,158,0.8924050632911393,2355,1,1,0,1,2005 Thermal Anomaly,compound,FALSE,2,0.9999300853841357,post_disturbance
2007,0.7434366156365795,0.2578520570657853,244,0.930327868852459,2265,0.5450819672131147,0,0,0.5450819672131147,Coastal Eutrophication,compound,FALSE,3,0.9998996884505281,background
2008,0.7651256257909703,0.2718693543012786,238,0.9369747899159663,2961.75,0.5672268907563025,0,0,0.5672268907563025,Coastal Eutrophication,compound,FALSE,3,0.9980908512617058,background
2009,-0.8541946879139446,0.1544799279981444,274,0.7846715328467152,2808,0.6605839416058394,0.3978102189781022,0,0.6605839416058394,2010 Cold-Water Event,compound,FALSE,1,1,catastrophic
2010,0.28736373196611076,0.15193972228195715,405,0.8666666666666665,989,0.8740740740740741,0.8740740740740741,0,0.8740740740740741,2010 Cold-Water Event,compound,FALSE,2,0.9999999806483508,post_disturbance
2011,0.9222210599039194,0.13999127883079923,661,0.9107413010590015,787.2,1,0,0,1,Sargassum Brown Tides,compound,FALSE,3,0.9999994540729853,background
2012,0.9579258780403795,0.08810390522451235,1471,0.8973487423521417,576,1,0,0,1,Sargassum Brown Tides,compound,FALSE,3,0.9993634029534041,background
2013,-0.656879071348053,0.07160433757448065,1007,0.6722939424031787,598.5333333333332,1,0,0,1,Sargassum Brown Tides,compound,FALSE,1,0.9999999999999939,catastrophic
2014,-0.41123712640532367,0.09003239903581539,746,0.7533512064343159,911.2777777777778,1,0,0,1,Sargassum Brown Tides,compound,FALSE,1,0.9999952513215371,catastrophic
2015,-0.30890808991941743,0.08829223209846526,705,0.7021276595744683,208,1,0,0,1,Sargassum Brown Tides,compound,FALSE,1,0.9998478733060121,catastrophic
2016,0.12204454200856278,0.07246190731759757,921,0.6590662323561325,50,1,0.8892508143322475,0,1,Hurricane Irma,compound,FALSE,2,0.9269969836353182,post_disturbance
2017,-1.1141646864992802,0.17008807110738075,179,0.6592178770949719,456,1,1,0,1,Hurricane Irma,compound,FALSE,1,1,catastrophic
2018,-0.6914612639820528,0.20839624312290536,137,0.7372262773722629,330,1,0,0,1,Sargassum Brown Tides,compound,FALSE,1,0.9999999999995443,catastrophic
2019,0.19756814207288595,0.2162655474391209,182,0.8461538461538461,73.5,1,0,0,1,Sargassum Brown Tides,compound,FALSE,2,0.9577987520551458,post_disturbance
2020,-0.34095782830375543,0.36612559972585773,30,0.5333333333333334,23,1,0,0,1,Sargassum Brown Tides,sargassum,FALSE,1,0.999982973575274,catastrophic
2021,0.3292624084261098,0.3846080293670264,76,0.8947368421052632,28.85,1,0.7894736842105263,0,1,Diadema 2nd Die-off,compound,FALSE,2,0.9621361269884249,post_disturbance
2022,-0.4798567494683081,0.23684889779907595,102,0.7352941176470589,221,1,1,1,1,2023 Marine Heatwave,compound,FALSE,1,0.9999999244981486,catastrophic
2023,-1.823278238772364,0.24896863242116912,76,0.5657894736842105,1349.1999999999998,1,1,1,1,2023 Marine Heatwave,compound,FALSE,1,1,catastrophic
2024,-1.6447966470024973,0.894380270990209,6,0.6666666666666666,1654.875,1,0,0,1,Sargassum Brown Tides,sargassum,TRUE,1,1,catastrophic
