region,n_total,survival_combined,n_studies_total,n_studies_ind,n_studies_summ,n_ind,n_summ,pct_from_summary,overlap_resolved
Dominican Republic,14315,0.012085225288159276,2,1,1,44,14271,99.69263010827804,0
Florida Keys,7029,0.7670280331180245,8,4,4,6222,807,11.481007255655143,0
Curacao,1516,0.503132103495384,3,1,2,856,660,43.53562005277045,0
Puerto Rico,1452,0.7670184374492801,3,0,3,0,1452,100,0
British Virgin Islands,1198,0.5318614357262104,1,0,1,0,1198,100,0
Jamaica,515,0.7611789920257446,1,0,1,0,515,100,0
US Virgin Islands,489,0.5498813905930471,4,1,3,46,443,90.59304703476482,0
USVI,300,0.7761,2,0,2,0,300,100,0
Cuba,200,0.6625,1,0,1,0,200,100,0
Bahamas,112,0.9464285714285717,1,0,1,0,112,100,0
Navassa,102,0.9215686274509803,1,1,0,102,0,0,0
Virgin Gorda,58,0.9358768784423132,1,0,1,0,58,100,0
Mexican Caribbean,52,1,2,2,0,52,0,0,2
Dry Tortugas,24,1,1,1,0,24,0,0,0
