"size_class","region","current_n","current_survival","recommended_n_10pct","current_power","gap","priority"
"SC5","Florida Keys",1193,0.965632858340319,448617,0.0523944149123857,447424,"HIGH"
"SC1","US Virgin Islands",23,0.565217391304348,290697,0.0500711394726218,290674,"HIGH"
"SC2","Navassa",10,0.6,279369,0.0500321836347282,279359,"HIGH"
"SC1","Curacao",16,0.625,269391,0.050053401687294,269375,"HIGH"
"SC2","Curacao",56,0.642857142857143,261325,0.0501926917113757,261269,"HIGH"
"SC2","Florida Keys",1227,0.644661776691117,260466,0.0542462765038719,259239,"HIGH"
"SC2","US Virgin Islands",12,0.666666666666667,249351,0.0500432698916595,249339,"HIGH"
"SC1","Florida Keys",241,0.676348547717842,244084,0.0508882136930566,243843,"HIGH"
"SC3","Florida Keys",752,0.767287234042553,183375,0.0536953069395917,182623,"HIGH"
"SC3","Curacao",108,0.787037037037037,167506,0.0505798984162369,167398,"HIGH"
"SC4","Navassa",15,0.933333333333333,140975,0.0500956706677467,140960,"HIGH"
"SC3","US Virgin Islands",11,0.818181818181818,140535,0.0500703774169547,140524,"HIGH"
"SC1","Dominican Republic",36,0.833333333333333,126552,0.0502558037850809,126516,"HIGH"
"SC3","Navassa",21,0.857142857142857,103440,0.0501825512143615,103419,"HIGH"
"SC4","Curacao",209,0.861244019138756,99319,0.0518941822564623,99110,"HIGH"
"SC5","Curacao",467,0.884368308351178,75306,0.0555943332730327,74839,"HIGH"
"SC4","Florida Keys",594,0.892255892255892,71216,0.0575329057634699,70622,"HIGH"
