"size_class","survival","n","boundary_set","boundaries"
"SC1",0.68802238926503,67,"Standard","10, 100, 900, 4000"
"SC2",0.824188141626112,582,"Standard","10, 100, 900, 4000"
"SC3",0.873639407331651,955,"Standard","10, 100, 900, 4000"
"SC4",0.933058648229289,846,"Standard","10, 100, 900, 4000"
"SC5",0.952471755376681,1180,"Standard","10, 100, 900, 4000"
"SC1",0.774849458266763,114,"Conservative","15, 120, 1100, 5000"
"SC2",0.816622243785492,617,"Conservative","15, 120, 1100, 5000"
"SC3",0.889139502960885,990,"Conservative","15, 120, 1100, 5000"
"SC4",0.93205608777485,869,"Conservative","15, 120, 1100, 5000"
"SC5",0.95360507127557,1040,"Conservative","15, 120, 1100, 5000"
"SC1",0.686202738493668,54,"Liberal","8, 80, 700, 3000"
"SC2",0.816452212978932,490,"Liberal","8, 80, 700, 3000"
"SC3",0.868465016762776,943,"Liberal","8, 80, 700, 3000"
"SC4",0.92380276272663,800,"Liberal","8, 80, 700, 3000"
"SC5",0.952579491083852,1343,"Liberal","8, 80, 700, 3000"
"SC1",0.68802238926503,67,"Equal_log","10, 47, 224, 1057"
"SC2",0.798163412965338,295,"Equal_log","10, 47, 224, 1057"
"SC3",0.844847761405938,626,"Equal_log","10, 47, 224, 1057"
"SC4",0.897871194187543,713,"Equal_log","10, 47, 224, 1057"
"SC5",0.944659000598505,1929,"Equal_log","10, 47, 224, 1057"
"SC1",0.813849015543957,731,"Quantile_based","120, 647, 2462, 7806"
"SC2",0.876518273954644,721,"Quantile_based","120, 647, 2462, 7806"
"SC3",0.918314500556578,726,"Quantile_based","120, 647, 2462, 7806"
"SC4",0.949621395021787,726,"Quantile_based","120, 647, 2462, 7806"
"SC5",0.95504192177784,726,"Quantile_based","120, 647, 2462, 7806"
