from_class,transition_state,n_observations,transition_prob
SC1,Growth,19,0.43181818181818205
SC1,Stasis,25,0.568181818181818
SC2,Growth,150,0.24834437086092667
SC2,Retrogression,92,0.152317880794702
SC2,Stasis,362,0.599337748344371
SC3,Growth,186,0.15
SC3,Retrogression,208,0.167741935483871
SC3,Stasis,846,0.6822580645161289
SC4,Growth,145,0.125107851596204
SC4,Retrogression,199,0.1716997411561691
SC4,Stasis,815,0.703192407247627
SC5,Retrogression,120,0.09090909090909086
SC5,Stasis,1200,0.909090909090909
