size_class,dataset,n,median_size,q25,q75,min_size,max_size
SC1,survival,137,5.60333333333333,3.75,8.25,0.18,10
SC2,survival,2086,45.5,31.087500000000002,66,10.125,100
SC3,survival,2059,286,162,532.452777777778,100.1,900
SC4,survival,1498,1873.5361111111101,1272.11111111111,2730,903,4000
SC5,survival,1566,8890.337777777775,6009.5250000000005,14361.75,4005,85120
SC1,growth,78,6,3.9612059916906026,8.972222222222221,1,10
SC2,growth,1468,42.930041976061645,27.2501666666667,63.75,10.193,100
SC3,growth,1560,310.52,169.75,558.6125,100.1,900
SC4,growth,1311,1887.71,1275,2753.55,903,4000
SC5,growth,1478,8922.375,6053.125,14431.725,4005,85120
