study,size_class,pop_type,n,n_survived,survival_rate,data_tier
NOAA_survey,SC1,Natural,216,147,0.6805555555555556,Individual
NOAA_survey,SC2,Natural,456,346,0.7587719298245614,Individual
NOAA_survey,SC2,Restoration,7,7,1,Individual
NOAA_survey,SC3,Natural,733,589,0.8035470668485676,Individual
NOAA_survey,SC3,Restoration,28,28,1,Individual
NOAA_survey,SC4,Natural,786,692,0.8804071246819338,Individual
NOAA_survey,SC4,Restoration,32,32,1,Individual
NOAA_survey,SC5,Natural,1683,1588,0.9435531788472965,Individual
NOAA_survey,SC5,Restoration,27,27,1,Individual
USGS_USVI_exp,SC1,Restoration,23,13,0.5652173913043478,Individual
USGS_USVI_exp,SC2,Restoration,12,8,0.6666666666666666,Individual
USGS_USVI_exp,SC3,Restoration,11,9,0.8181818181818182,Individual
fundemar_fragments,SC1,Restoration,36,30,0.8333333333333334,Individual
fundemar_fragments,SC2,Restoration,8,8,1,Individual
kuffner_et_al_2020,SC1,Restoration,46,36,0.782608695652174,Individual
kuffner_et_al_2020,SC2,Restoration,7,7,1,Individual
mendoza_quiroz_et_al_2023,SC1,Natural,25,25,1,Individual
mendoza_quiroz_et_al_2023,SC2,Natural,6,6,1,Individual
mendoza_quiroz_et_al_2023,SC3,Natural,14,14,1,Individual
mendoza_quiroz_et_al_2023,SC4,Natural,7,7,1,Individual
pausch_et_al_2018,SC1,Restoration,18,13,0.7222222222222222,Individual
pausch_et_al_2018,SC2,Restoration,830,480,0.5783132530120482,Individual
pausch_et_al_2018,SC3,Restoration,120,63,0.525,Individual
bruckner_bruckner_2001,SC3,Restoration,50,43,0.8573747374260301,Summary
bruckner_bruckner_2001,SC4,Restoration,260,227,0.87340383681126,Summary
bruckner_bruckner_2001,SC5,Restoration,223,209,0.9417237758729212,Summary
forrester_et_al_2013,SC2,Restoration,198,81,0.4113131313131313,Summary
forrester_et_al_2013,SC3,Restoration,1000,555,0.5557300000000001,Summary
garrison_ward_2008,SC3,Natural,45,36,0.8,Summary
garrison_ward_2008,SC3,Restoration,30,16,0.55,Summary
maurer_et_al_2022,SC1,Restoration,112,106,0.9464285714285717,Summary
ortiz_prosper_2005,SC3,Restoration,442,336,0.7613288576080539,Summary
ortiz_prosper_2005,SC4,Restoration,71,66,0.9352798004232591,Summary
rosales_et_al_2024,SC2,Restoration,440,350,0.7946373223910912,Summary
roth_et_al_2013,SC2,Natural,52,32,0.6207692307692307,Summary
roth_et_al_2013,SC3,Natural,36,24,0.6666666666666666,Summary
roth_et_al_2013,SC4,Natural,71,58,0.8176056338028168,Summary
roth_et_al_2013,SC5,Natural,66,66,1,Summary
vardi_2011,SC2,Natural,158,111,0.7061491747006347,Summary
vardi_2011,SC3,Natural,372,297,0.7969047039585749,Summary
vardi_2011,SC4,Natural,240,218,0.9097628536435928,Summary
vardi_2011,SC5,Natural,209,199,0.954098006361633,Summary
williams_miller_2010,SC4,Restoration,54,40,0.7527523427281732,Summary
