region,location,plot,site_id,latitude,longitude,n_site_years,total_survival_obs,mean_survival_rate,mean_positive_growth_rate,first_year,last_year
Florida Keys,Marker 3 Reef,MR2,Florida Keys.Marker 3 Reef.MR2,25.37328,-80.16062,4,343,0.5276967930029155,0.7988505747126436,2011,2015
Florida Keys,Palmata Patch,DT1,Florida Keys.Palmata Patch.DT1,24.62098,-82.86745,5,288,0.8194444444444444,0.51931330472103,2011,2015
Florida Keys,Marker 3 Reef,MR3,Florida Keys.Marker 3 Reef.MR3,25.37328,-80.16062,4,255,0.5803921568627451,0.851063829787234,2011,2015
Florida Keys,Marker 3 Reef,MR1,Florida Keys.Marker 3 Reef.MR1,25.37328,-80.16062,4,222,0.7027027027027027,0.7402597402597403,2010,2014
Florida Keys,French Reef,FR1,Florida Keys.French Reef.FR1,25.033886,-80.349365,17,195,0.9179487179487179,0.5314285714285715,2005,2023
Florida Keys,Elbow Reef,EL2,Florida Keys.Elbow Reef.EL2,25.142899,-80.258221,19,189,0.9047619047619048,0.5059523809523809,2004,2024
Florida Keys,Elbow Reef,EL1,Florida Keys.Elbow Reef.EL1,25.142579,-80.258364,18,186,0.9623655913978495,0.6067415730337079,2004,2023
Florida Keys,Molasses Reef,ML3,Florida Keys.Molasses Reef.ML3,25.010151,-80.373305,16,166,0.8975903614457831,0.5510204081632653,2005,2022
Florida Keys,Molasses Reef,ML2,Florida Keys.Molasses Reef.ML2,25.009122,-80.374734,16,162,0.8765432098765432,0.3900709219858156,2005,2022
Florida Keys,Elbow Reef,EL3,Florida Keys.Elbow Reef.EL3,25.143881,-80.257827,17,161,0.8881987577639752,0.5174825174825175,2005,2023
Florida Keys,Looe Key,LK1,Florida Keys.Looe Key.LK1,24.54593,-81.40731,4,154,0.8571428571428571,0.6456692913385826,2011,2014
Florida Keys,Sand Island,SI2,Florida Keys.Sand Island.SI2,25.018249,-80.368447,13,143,0.916083916083916,0.5343511450381679,2009,2023
Florida Keys,Elbow Reef,EL4,Florida Keys.Elbow Reef.EL4,25.145086,-80.257301,17,140,0.9357142857142857,0.5419847328244275,2005,2023
Florida Keys,French Reef,FR2,Florida Keys.French Reef.FR2,25.033681,-80.349545,14,138,0.8768115942028986,0.5847457627118644,2008,2023
Florida Keys,Sand Island,SI1,Florida Keys.Sand Island.SI1,25.018314,-80.368583,13,136,0.8382352941176471,0.4954954954954955,2009,2023
Florida Keys,Looe Key,LK3,Florida Keys.Looe Key.LK3,24.54593,-81.40731,4,130,0.8769230769230769,0.7807017543859649,2011,2014
Florida Keys,Carysfort Reef,CF2,Florida Keys.Carysfort Reef.CF2,25.22179,-80.210586,12,124,0.8790322580645161,0.5185185185185185,2005,2016
Florida Keys,Key Largo Dry Rocks,KL1,Florida Keys.Key Largo Dry Rocks.KL1,25.123581,-80.297359,16,122,0.8770491803278688,0.42342342342342343,2005,2023
Florida Keys,Horseshoe,NA,NA,25.14023,-80.2941,1,120,0.4583333333333333,0.8437935843793585,2016,2016
