region,location,plot,site_id,site_year,latitude,longitude,survey_year_num,n_survival,survival_rate,median_size_cm2,disturbance_state,population_type,n_growth,positive_growth_rate
Curacao,Blue Baai,BB1,Curacao.Blue Baai.BB1,Curacao.Blue Baai.BB1.2007,12.135109,-68.986818,2007,12,0.9166666666666666,4243.5,No curated disturbance,Natural colony,11,0.7272727272727273
Curacao,Blue Baai,BB1,Curacao.Blue Baai.BB1,Curacao.Blue Baai.BB1.2008,12.135109,-68.986818,2008,11,1,6765,No curated disturbance,Natural colony,10,0.6
Curacao,Blue Baai,BB1,Curacao.Blue Baai.BB1,Curacao.Blue Baai.BB1.2009,12.135109,-68.986818,2009,11,0.9090909090909091,6435,No curated disturbance,Natural colony,10,0.1
Curacao,Blue Baai,BB1,Curacao.Blue Baai.BB1,Curacao.Blue Baai.BB1.2010,12.135109,-68.986818,2010,10,1,1945,No curated disturbance,Natural colony,10,1
Curacao,Blue Baai,BB1,Curacao.Blue Baai.BB1,Curacao.Blue Baai.BB1.2011,12.135109,-68.986818,2011,12,0.9166666666666666,2207.475,Context-only pressure,Natural colony,11,0.5454545454545454
Curacao,Blue Baai,BB1,Curacao.Blue Baai.BB1,Curacao.Blue Baai.BB1.2012,12.135109,-68.986818,2012,12,0.9166666666666666,2192.6,Context-only pressure,Natural colony,11,0.7272727272727273
Curacao,Blue Baai,BB1,Curacao.Blue Baai.BB1,Curacao.Blue Baai.BB1.2013,12.135109,-68.986818,2013,11,1,3168,Context-only pressure,Natural colony,11,0.8181818181818182
Curacao,Blue Baai,BB1,Curacao.Blue Baai.BB1,Curacao.Blue Baai.BB1.2014,12.135109,-68.986818,2014,12,0.9166666666666666,3593.75,Context-only pressure,Natural colony,11,0.8181818181818182
Curacao,Blue Baai,BB1,Curacao.Blue Baai.BB1,Curacao.Blue Baai.BB1.2015,12.135109,-68.986818,2015,11,1,7114.8,Context-only pressure,Natural colony,11,0.8181818181818182
Curacao,Blue Baai,BB2,Curacao.Blue Baai.BB2,Curacao.Blue Baai.BB2.2007,12.135202,-68.987383,2007,14,1,3591.61,No curated disturbance,Natural colony,13,0.46153846153846156
Curacao,Blue Baai,BB2,Curacao.Blue Baai.BB2,Curacao.Blue Baai.BB2.2008,12.135202,-68.987383,2008,14,1,3668.875,No curated disturbance,Natural colony,14,0.5714285714285714
Curacao,Blue Baai,BB2,Curacao.Blue Baai.BB2,Curacao.Blue Baai.BB2.2009,12.135202,-68.987383,2009,14,0.42857142857142855,3495,No curated disturbance,Natural colony,6,0.16666666666666666
Curacao,Blue Baai,BB2,Curacao.Blue Baai.BB2,Curacao.Blue Baai.BB2.2010,12.135202,-68.987383,2010,6,1,1840,No curated disturbance,Natural colony,6,0.8333333333333334
Curacao,Blue Baai,BB2,Curacao.Blue Baai.BB2,Curacao.Blue Baai.BB2.2011,12.135202,-68.987383,2011,13,0.6923076923076923,976.5,Context-only pressure,Natural colony,9,0.4444444444444444
Curacao,Blue Baai,BB2,Curacao.Blue Baai.BB2,Curacao.Blue Baai.BB2.2012,12.135202,-68.987383,2012,14,1,863.125,Context-only pressure,Natural colony,14,0.42857142857142855
Curacao,Blue Baai,BB2,Curacao.Blue Baai.BB2,Curacao.Blue Baai.BB2.2013,12.135202,-68.987383,2013,14,0.9285714285714286,820.325,Context-only pressure,Natural colony,13,0.6153846153846154
Curacao,Blue Baai,BB2,Curacao.Blue Baai.BB2,Curacao.Blue Baai.BB2.2014,12.135202,-68.987383,2014,13,0.8461538461538461,1260,Context-only pressure,Natural colony,11,0.7272727272727273
Curacao,Blue Baai,BB2,Curacao.Blue Baai.BB2,Curacao.Blue Baai.BB2.2015,12.135202,-68.987383,2015,11,0.9090909090909091,2640,Context-only pressure,Natural colony,10,0.7
Curacao,Blue Baai,BB3,Curacao.Blue Baai.BB3,Curacao.Blue Baai.BB3.2007,12.135267,-68.987104,2007,10,0.9,2362.5,No curated disturbance,Natural colony,8,0.875
Curacao,Blue Baai,BB3,Curacao.Blue Baai.BB3,Curacao.Blue Baai.BB3.2008,12.135267,-68.987104,2008,9,0.7777777777777778,5567.8,No curated disturbance,Natural colony,7,0.8571428571428571
Curacao,Blue Baai,BB3,Curacao.Blue Baai.BB3,Curacao.Blue Baai.BB3.2009,12.135267,-68.987104,2009,7,0.7142857142857143,8250,No curated disturbance,Natural colony,5,0
Curacao,Blue Baai,BB3,Curacao.Blue Baai.BB3,Curacao.Blue Baai.BB3.2010,12.135267,-68.987104,2010,5,1,2880,No curated disturbance,Natural colony,5,0.4
Curacao,Blue Baai,BB3,Curacao.Blue Baai.BB3,Curacao.Blue Baai.BB3.2011,12.135267,-68.987104,2011,11,1,2160,Context-only pressure,Natural colony,11,0.36363636363636365
Curacao,Blue Baai,BB3,Curacao.Blue Baai.BB3,Curacao.Blue Baai.BB3.2012,12.135267,-68.987104,2012,11,0.9090909090909091,1440,Context-only pressure,Natural colony,10,0.5
Curacao,Blue Baai,BB3,Curacao.Blue Baai.BB3,Curacao.Blue Baai.BB3.2013,12.135267,-68.987104,2013,10,0.9,2271.2,Context-only pressure,Natural colony,9,0.4444444444444444
Curacao,Blue Baai,BB3,Curacao.Blue Baai.BB3,Curacao.Blue Baai.BB3.2014,12.135267,-68.987104,2014,9,1,2236,Context-only pressure,Natural colony,9,0.5555555555555556
Curacao,Blue Baai,BB3,Curacao.Blue Baai.BB3,Curacao.Blue Baai.BB3.2015,12.135267,-68.987104,2015,10,0.9,1805.15,Context-only pressure,Natural colony,9,0.5555555555555556
Curacao,Boca Santa Marta,SM1,Curacao.Boca Santa Marta.SM1,Curacao.Boca Santa Marta.SM1.2007,12.268331,-69.129461,2007,17,1,3580.2,No curated disturbance,Natural colony,17,0.8235294117647058
Curacao,Boca Santa Marta,SM1,Curacao.Boca Santa Marta.SM1,Curacao.Boca Santa Marta.SM1.2008,12.268331,-69.129461,2008,17,0.7058823529411765,5586,No curated disturbance,Natural colony,12,0.75
Curacao,Boca Santa Marta,SM1,Curacao.Boca Santa Marta.SM1,Curacao.Boca Santa Marta.SM1.2009,12.268331,-69.129461,2009,12,0.5,7507.5,No curated disturbance,Natural colony,6,0
Curacao,Boca Santa Marta,SM1,Curacao.Boca Santa Marta.SM1,Curacao.Boca Santa Marta.SM1.2010,12.268331,-69.129461,2010,6,1,4175,No curated disturbance,Natural colony,6,1
Curacao,Boca Santa Marta,SM1,Curacao.Boca Santa Marta.SM1,Curacao.Boca Santa Marta.SM1.2011,12.268331,-69.129461,2011,6,0.8333333333333334,6568.375,Context-only pressure,Natural colony,5,0.6
Curacao,Boca Santa Marta,SM1,Curacao.Boca Santa Marta.SM1,Curacao.Boca Santa Marta.SM1.2012,12.268331,-69.129461,2012,11,1,450,Context-only pressure,Natural colony,NA,NA
Curacao,Boca Santa Marta,SM2,Curacao.Boca Santa Marta.SM2,Curacao.Boca Santa Marta.SM2.2007,12.267807,-69.128565,2007,7,1,15675,No curated disturbance,Natural colony,7,0.7142857142857143
Curacao,Boca Santa Marta,SM2,Curacao.Boca Santa Marta.SM2,Curacao.Boca Santa Marta.SM2.2008,12.267807,-69.128565,2008,7,0.8571428571428571,17765,No curated disturbance,Natural colony,6,0.6666666666666666
Curacao,Boca Santa Marta,SM2,Curacao.Boca Santa Marta.SM2,Curacao.Boca Santa Marta.SM2.2009,12.267807,-69.128565,2009,6,0.16666666666666666,17530,No curated disturbance,Natural colony,1,0
Curacao,Boca Santa Marta,SM2,Curacao.Boca Santa Marta.SM2,Curacao.Boca Santa Marta.SM2.2010,12.267807,-69.128565,2010,1,1,8011.25,No curated disturbance,Natural colony,1,1
Curacao,Boca Santa Marta,SM2,Curacao.Boca Santa Marta.SM2,Curacao.Boca Santa Marta.SM2.2011,12.267807,-69.128565,2011,1,1,10524.5,Context-only pressure,Natural colony,1,0
Curacao,Boca Santa Marta,SM2,Curacao.Boca Santa Marta.SM2,Curacao.Boca Santa Marta.SM2.2012,12.267807,-69.128565,2012,3,1,2450,Context-only pressure,Natural colony,3,0
Curacao,Boca Santa Marta,SM2,Curacao.Boca Santa Marta.SM2,Curacao.Boca Santa Marta.SM2.2013,12.267807,-69.128565,2013,3,1,2100,Context-only pressure,Natural colony,2,0
Curacao,Boca Santa Marta,SM3,Curacao.Boca Santa Marta.SM3,Curacao.Boca Santa Marta.SM3.2007,12.266826,-69.127415,2007,15,0.9333333333333333,3420,No curated disturbance,Natural colony,14,0.7142857142857143
Curacao,Boca Santa Marta,SM3,Curacao.Boca Santa Marta.SM3,Curacao.Boca Santa Marta.SM3.2008,12.266826,-69.127415,2008,14,1,4191.15,No curated disturbance,Natural colony,14,0.42857142857142855
Curacao,Boca Santa Marta,SM3,Curacao.Boca Santa Marta.SM3,Curacao.Boca Santa Marta.SM3.2009,12.266826,-69.127415,2009,14,0,3451.5,No curated disturbance,Natural colony,NA,NA
Curacao,Sea Aquarium Reef,SQ1,Curacao.Sea Aquarium Reef.SQ1,Curacao.Sea Aquarium Reef.SQ1.2007,12.084208,-68.893882,2007,12,0.9166666666666666,4225.8,No curated disturbance,Natural colony,11,0.45454545454545453
Curacao,Sea Aquarium Reef,SQ1,Curacao.Sea Aquarium Reef.SQ1,Curacao.Sea Aquarium Reef.SQ1.2008,12.084208,-68.893882,2008,11,1,5414.5,No curated disturbance,Natural colony,11,0.45454545454545453
Curacao,Sea Aquarium Reef,SQ1,Curacao.Sea Aquarium Reef.SQ1,Curacao.Sea Aquarium Reef.SQ1.2009,12.084208,-68.893882,2009,11,1,4410,No curated disturbance,Natural colony,11,0.45454545454545453
