outcome,model,component,std_dev,variance
survival,baseline,s(log_size)1,0.10110545806094454,0.010222313649713415
survival,baseline,s(log_size)2,0.7481006309869731,0.5596545540831073
survival,baseline,s(study),3.0032931047676232,9.01976947314475
survival,spatiotemporal,s(log_size)1,0.06832887010462317,0.004668834489774466
survival,spatiotemporal,s(log_size)2,0.8367408058057175,0.7001351761004014
survival,spatiotemporal,s(survey_year_num)1,0.11874093339084948,0.014099409262530154
survival,spatiotemporal,s(survey_year_num)2,0.0051317713893715075,2.633507759277197e-5
survival,spatiotemporal,s(survey_year_factor),0.9462616169584898,0.8954110477288956
survival,spatiotemporal,"s(longitude,latitude)1",2.606830438837695,6.79556493685073
survival,spatiotemporal,"s(longitude,latitude)2",0.0015758968109611696,2.4834507587975843e-6
survival,spatiotemporal,s(site_id),0.5949919332527058,0.35401540063579234
survival,spatiotemporal,s(study),0.8476737097680812,0.7185507182319811
