regime_class,recruitment_scenario,kernel_key,lambda_kernel,sigma_growth,n_survival,n_growth,annual_recruits_per_mature_colony
baseline_exclusion,zero,baseline_exclusion__zero,0.850550758248095,1.4950471647846444,965,875,0
catastrophic,zero,catastrophic__zero,0.50933035234613655,2.319681885891766,57,36,0
context_only,zero,context_only__zero,0.8244419247575743,1.3899020119905887,4144,3321,0
none,zero,none__zero,0.8322877678173657,0.49630335726785313,342,276,0
baseline_exclusion,conservative,baseline_exclusion__conservative,0.8506224887356038,1.4950471647846444,965,875,0.0010360000000000002
catastrophic,conservative,catastrophic__conservative,0.5093661209534974,2.319681885891766,57,36,0.0010360000000000002
context_only,conservative,context_only__conservative,0.8244766259200087,1.3899020119905887,4144,3321,0.0010360000000000002
none,conservative,none__conservative,0.8323302336291272,0.49630335726785313,342,276,0.0010360000000000002
baseline_exclusion,optimistic,baseline_exclusion__optimistic,0.850850623232343,1.4950471647846444,965,875,0.00434
catastrophic,optimistic,catastrophic__optimistic,0.5094801204520133,2.319681885891766,57,36,0.00434
context_only,optimistic,context_only__optimistic,0.8245871494168674,1.3899020119905887,4144,3321,0.00434
none,optimistic,none__optimistic,0.8324652063242997,0.49630335726785313,342,276,0.00434
