"year","deterministic","stochastic_mean","stochastic_median","ci_lower_95","ci_upper_95","pi_lower_80","pi_upper_80"
0,210,210,210,210,210,210,210
1,172.841334130726,180.52020278492,172.713084911139,155.628038931792,220.195102169151,160.972203457191,217.367105587955
2,150.786734929896,164.208960735347,150.292486376256,126.017413775885,231.614282636352,132.731007663778,225.690078299602
3,135.750498221713,153.815647127295,134.99772497113,104.866723573672,244.423567467074,112.593551042568,235.191896561787
4,125.087838622157,147.160995240781,124.397738449283,88.726791447638,259.09118184979,96.8276813024026,246.219458131465
5,117.47624809881,143.180217687985,116.681017115842,75.546620548053,276.112092834234,83.7368284682783,258.46323745465
6,112.059982848168,141.224852531187,110.526410752984,65.080447782165,295.675800187158,72.959513227983,272.577064048498
7,108.229741966185,140.861169656382,106.579380608212,56.0981989405736,318.200033954941,63.7884919670562,288.502540010857
8,105.540767524293,141.788274012591,104.144785181993,48.1600374500847,343.431334307509,55.9087052912073,306.304593632937
9,103.668057328466,143.795912309499,102.253774141327,41.4002467917341,371.229102478023,48.9679458598112,326.028173392248
10,102.37558381117,146.738882695581,101.083236288457,35.5485925877844,402.265740099078,42.8622548962603,347.771825208895
11,101.493282255592,150.519947045743,100.391033375131,30.7525102632744,436.74926243287,37.5324368344948,371.625737394101
12,100.899551001539,155.077834858567,99.6828518984963,26.341041098023,474.912000325769,33.0369737877817,397.721307191815
13,100.508029442373,160.378649390274,99.0875692070091,22.5128198685353,517.016568899534,28.8960409739465,426.06689018811
14,100.257737899434,166.409692304595,98.8943067132866,19.2421323256738,563.849800102873,25.5703771291689,456.702566471808
15,100.105824259626,173.175057442214,98.7991850292183,16.4755483592954,615.808198362275,22.5671204001597,489.396881320778
16,100.022293218101,180.69253231067,98.8556440734284,14.1806863012841,672.943315130884,19.8367142177912,524.691855762364
17,99.9862157549025,188.991469141592,98.8079631606636,12.2662817214262,735.701813270198,17.4373861097548,563.208608800557
18,99.9830263420795,198.111376088882,99.0036689004122,10.6021295981254,804.580076661007,15.3286904568266,604.776848389634
19,100.002609073729,208.101045579126,99.3792358080411,9.11338662225241,880.12782809116,13.4752474889754,649.582383061308
20,100.037949991252,219.018086986308,99.7670872902576,7.83412324923052,962.952191504214,11.8489294103983,697.848885906537
