from,to,point_estimate,ci_lower,ci_upper,boot_mean,boot_sd
SC1,SC1,0.35055743063993694,0.23009969003052835,0.5231362393911861,0.3558821281633273,0.07464025732100905
SC2,SC1,0.105260709432455,0,0.17170227623063805,0.08905141991421742,0.04888332116575604
SC3,SC1,0.0732202511046532,0,0.12445286367056568,0.06161148977457022,0.03909242205249381
SC4,SC1,0.06305373720320624,0.004975970085470082,0.09837617667630372,0.053180561533496595,0.029755196431416078
SC5,SC1,0.0400201471581583,0.019697179487179486,0.05395846467517002,0.03723702083665837,0.0085928796119071945
SC1,SC2,0.26642364728635204,0.15908975289561272,0.41860109715167054,0.26858724694389424,0.06754111194573041
SC2,SC2,0.4141780088537903,0.27832371094479136,0.6256303681166009,0.4236356246505041,0.09126360566219163
SC3,SC2,0.059212898719415194,0.02975461920707507,0.11264728267817345,0.06291450642883559,0.023670642084892436
SC4,SC2,0.04966881300888171,0.02888759541517304,0.20253299178815656,0.05856787805759792,0.050281643677570834
SC5,SC2,0.2116553846153846,0.11787496153846154,0.3207168076923075,0.2100424176923077,0.05286117614373708
SC1,SC3,0,0,0,0,0
SC2,SC3,0.16933244560873195,0.10105193031934684,0.25589076956953605,0.1690456468668689,0.04094794766774187
SC3,SC3,0.5386463689959705,0.4355282737714634,0.6991053671414661,0.5448671916480985,0.06749267508141067
SC4,SC3,0.15042752888173247,0.10109158303449256,0.44758996388960054,0.16943535731972284,0.08054687452560913
SC5,SC3,0.3275294254283013,0.17426816104026574,0.5499645916961746,0.3254345683243083,0.10044190951811484
SC1,SC4,0,0,0,0,0
SC2,SC4,0.002288276292009891,0,0.006122113317603175,0.0017992772528476746,0.0019178330778926358
SC3,SC4,0.11842579743883039,0.08111804983916479,0.1487136412888218,0.1156659813230956,0.018009582868134193
SC4,SC4,0.625213451530784,0.24742840667168034,0.7065730887870859,0.6067707269628263,0.09324719823537794
SC5,SC4,0.12482353261626902,0.07002200854700859,0.19573550671841686,0.12981642588812542,0.031129577889789494
SC1,SC5,0,0,0,0,0
SC2,SC5,0,0,0,0,0
SC3,SC5,0,0,0,0,0
SC4,SC5,0.11123429505762417,0,0.1407794322070658,0.10103725529200816,0.02924446402046178
SC5,SC5,0.8655737870700205,0.005935384615384618,0.8883928451159994,0.8180860676901158,0.16513229003264193
