"to_class","from_class","n_observations","reliability","transition_prob","elasticity_value"
"SC1","SC1",25,"Moderate",0.568181818181818,0.00127517946958582
"SC2","SC1",19,"Low",0.431818181818182,0.002666150168399
"SC3","SC1",0,"None",0,0
"SC4","SC1",0,"None",0,0
"SC5","SC1",0,"None",0,0
"SC1","SC2",92,"High",0.152317880794702,0.000800970086779683
"SC2","SC2",362,"High",0.599337748344371,0.00867035227331565
"SC3","SC2",148,"High",0.245033112582781,0.01050287527156
"SC4","SC2",2,"Very Low",0.0033112582781457,0.000486990205410195
"SC5","SC2",0,"None",0,0
"SC1","SC3",115,"High",0.092741935483871,0.000972702191073604
"SC2","SC3",93,"High",0.075,0.00216403711552501
"SC3","SC3",846,"High",0.682258064516129,0.0583271074719333
"SC4","SC3",186,"High",0.15,0.044000413630097
"SC5","SC3",0,"None",0,0
"SC1","SC4",76,"High",0.0655737704918033,0.000508225091363049
"SC2","SC4",9,"Very Low",0.00776531492666091,0.00118355992418157
"SC3","SC4",114,"High",0.0983606557377049,0.0102053441719863
"SC4","SC4",815,"High",0.703192407247627,0.139931341678322
"SC5","SC4",145,"High",0.125107851596204,0.0659186949573735
"SC1","SC5",23,"Moderate",0.0174242424242424,0.000384252799182594
"SC2","SC5",0,"None",0,0.0057770883556443
"SC3","SC5",13,"Low",0.00984848484848485,0.0264289334931496
"SC4","SC5",84,"High",0.0636363636363636,0.0333284203093971
"SC5","SC5",1200,"High",0.909090909090909,0.586467361335721
