study,region,data_tier,population_type,n_total,n_survived,survival_rate,mean_size_cm2,survey_yr,fragment,log_odds,var_log_odds,se_log_odds,surv_lower,surv_upper,weight_re_pct
NOAA_survey,Florida,Tier 1 (individual),Natural colony,3968,3456,0.8709677419354839,4520.231665826602,2024,N,1.9095425048844386,0.002242476851851852,0.047354797558978666,0.8601729415533863,0.8810444210032884,6.954202563417383
USGS_USVI_exp,USVI,Tier 1 (individual),Restoration fragment,46,30,0.6521739130434783,59.47391304347828,2021,Y,0.6286086594223741,0.09583333333333333,0.30956959368344517,0.5054628465670677,0.7747562061011825,6.030156220847439
fundemar_fragments,Dominican Republic,Tier 1 (individual),Restoration fragment,44,38,0.8636363636363636,20.10218181818182,2021,Y,1.845826690498331,0.19298245614035087,0.4392976851069794,0.7280602413546597,0.9374296477716105,5.299243155546942
kuffner_et_al_2020,Florida,Tier 1 (individual),Restoration fragment,53,43,0.8113207547169812,17.58254716981132,2019,Y,1.4586150226995171,0.12325581395348838,0.35107807387173634,0.6836294759597025,0.8953626292214849,5.804181070158592
pausch_et_al_2018,Florida,Tier 1 (individual),Restoration fragment,968,556,0.5743801652892562,63.767267561983566,2016,Y,0.29974494490105585,0.004225745617098554,0.06500573526311777,0.5429771141201569,0.6051943878479832,6.931693744565225
vardi_2011_jamaica,Jamaica,Tier 2 (summary),Natural colony,515,394,0.7650485436893204,1818.5270508422614,2009,N,1.1805603637011928,0.010802533875907204,0.1039352388552949,0.7264822031550839,0.7996764552698423,6.858083136963558
vardi_2011_puerto_rico,Puerto Rico,Tier 2 (summary),Natural colony,406,376,0.9261083743842364,2355.2264419273106,2010,N,2.5283917617277387,0.035992907801418436,0.18971796910524433,0.8962787579069201,0.9478582493496193,6.590036946214463
vardi_2011_virgin_gorda,Virgin Gorda,Tier 2 (summary),Natural colony,58,56,0.9655172413793104,1703.2048961487,2007,N,3.332204510175205,0.5178571428571429,0.7196229171289245,0.8723327407718001,0.9913599166825147,3.7708041100277105
bruckner_bruckner_2001,Puerto Rico,Tier 2 (summary),Restoration fragment,533,480,0.900562851782364,NA,1999,Y,2.2034941903498146,0.02095125786163522,0.14474549340699772,0.8721153513101071,0.9232392775833395,6.747511872845269
roth_et_al_2013,USVI,Tier 2 (summary),Natural colony,225,180,0.8,NA,2010,N,1.3862943611198908,0.02777777777777778,0.16666666666666669,0.7426193908006441,0.8472199488349389,6.675120541735555
ortiz_prosper_2005,Puerto Rico,Tier 2 (summary),Restoration fragment,513,403,0.7855750487329435,1144,2000,Y,1.2984561961542669,0.011572298669072861,0.10757461907472814,0.7479313911234221,0.8189578068986303,6.849569629818375
forrester_et_al_2013,British Virgin Islands,Tier 2 (summary),Restoration fragment,1198,637,0.5317195325542571,107.75358931552587,2009,Y,0.12704875004946706,0.0033523899070117555,0.05789982648516104,0.5033912205327844,0.5598448491582686,6.941587787292779
rosales_et_al_2024,Florida Keys,Tier 2 (summary),Restoration fragment,440,350,0.7954545454545454,40.66896961002849,2019,Y,1.358123484153194,0.013968253968253968,0.11818736805705578,0.755188016071801,0.8305838433116243,6.823205413116012
maurer_et_al_2022,Bahamas,Tier 2 (summary),Restoration fragment,112,106,0.9464285714285714,25,2017,Y,2.8716796248840115,0.1761006289308176,0.41964345453112645,0.8858645797438129,0.9757355858720369,5.413262037826788
williams_miller_2010,Florida Keys,Tier 2 (summary),Restoration fragment,54,41,0.7592592592592593,NA,2007,Y,1.1486227092427712,0.10131332082551595,0.31829753506038333,0.6282600308699018,0.8547665419311635,5.983602404472291
garrison_ward_2008,USVI,Tier 2 (summary),Natural colony,75,52,0.6933333333333334,369.9977302248126,2000,N,0.8157495026522777,0.06270903010033445,0.2504177112353167,0.5805254508629806,0.7869383277382631,6.327739365151615
