"n","d","power"
10,0.1,0.0259773397164523
20,0.1,0.0263914266229518
50,0.1,0.0272293707104621
100,0.1,0.0282001963659564
200,0.1,0.0296221917645439
500,0.1,0.0326199816610803
10,0.2,0.0269864394316753
20,0.2,0.0278469940930689
50,0.2,0.0296221917645439
100,0.2,0.0317343322443186
200,0.2,0.034932352270402
500,0.2,0.0420608051775292
10,0.3,0.0280280491683917
20,0.3,0.0293688348176618
50,0.3,0.0321869726100196
100,0.3,0.0356267030881412
200,0.3,0.0409999470923182
500,0.3,0.0536004617663066
10,0.4,0.0291029252268534
20,0.4,0.0309591049059193
50,0.4,0.034932352270402
100,0.4,0.0399020319935253
200,0.4,0.047895589479608
500,0.4,0.0675160940681974
10,0.5,0.0302118297621688
20,0.5,0.0326199816610803
50,0.5,0.0378670722720887
100,0.5,0.0445853020734282
200,0.5,0.0556899793312772
500,0.5,0.0840715086435281
10,0.6,0.0313555303416914
20,0.6,0.0343536609129512
50,0.6,0.0409999470923182
100,0.6,0.0497015694091261
200,0.6,0.0644526956576218
500,0.6,0.103502915012514
10,0.7,0.0325347994824449
20,0.7,0.0361623541910138
50,0.7,0.0443398321619095
100,0.7,0.0552757573452964
200,0.7,0.0742508576687275
500,0.7,0.126003585874453
10,0.8,0.0337504141685911
20,0.8,0.0380482857389124
50,0.8,0.047895589479608
100,0.8,0.0613324332839771
200,0.8,0.0851476761096727
500,0.8,0.151708358098425
10,0.9,0.0350031553489815
20,0.9,0.0400136893716651
50,0.9,0.0516760509187076
100,0.9,0.0678955695356384
200,0.9,0.0972009228993337
500,0.9,0.180679066465094
10,1,0.0362938074148647
20,1,0.0420608051775292
50,1,0.0556899793312772
100,1,0.074988290194431
200,1,0.110461353225842
500,1,0.212892093080983
