size_class,dataset,n,median_size,q25,q75,min_size,max_size
SC1,survival,94,4.8,3.6031025204651876,8,0.18,10
SC2,survival,1596,45.55,32,65,10.125,100
SC3,survival,1225,270.27,154,516.8,100.1,900
SC4,survival,946,1898.15,1267.2,2760.375,903,4000
SC5,survival,1270,9325.575,6320.9625000000005,15337.099999999999,4005,85120
SC1,growth,58,6,3.94827465558747,8.77199692904495,1,10
SC2,growth,1214,42,27.361250000000002,61.75,10.193,100
SC3,growth,984,288,160.41250000000002,544.3125,100.1,900
SC4,growth,863,1903.5,1275.5,2785.65,903,4000
SC5,growth,1206,9325.575,6316.2874999999995,15353.8875,4005,85120
