from,to,point_estimate,ci_lower,ci_upper,boot_mean,boot_sd
SC1,SC1,0.4137449138079459,0.22182210366052804,0.473380522717249,0.382388020963967,0.06744362351738487
SC2,SC1,0.19078347883857083,0,0.22240191546084614,0.14344903970372405,0.08468597411728297
SC3,SC1,0.1254459425678358,0,0.14877939822965167,0.0943940516237109,0.05602858808742979
SC4,SC1,0.11040895175146426,0.0058741196581196505,0.22638479822348298,0.11282451598527203,0.041565734641701754
SC5,SC1,0.05965297895653199,0.017216649572649564,0.07298959053464539,0.05053309219545071,0.016630057888049287
SC1,SC2,0.26825219686449236,0.20557476221025078,0.4648048038736143,0.28969936930575274,0.0708559530567999
SC2,SC2,0.33614231985843435,0.047756215744178314,0.3734763142247547,0.2839094340746906,0.10085721449263502
SC3,SC2,0.04561670638830393,0,0.11372238958602025,0.04866816383123096,0.021557153349945266
SC4,SC2,0.0480474817756074,0.026920153846153847,0.07262587358739482,0.046964391077611085,0.011621987349198866
SC5,SC2,0.21294594582964416,0.1254770118450247,0.32526686168773206,0.2135494607710462,0.05144926596852291
SC1,SC3,0.02273323702241461,0,0.05561710356705673,0.02360533965046507,0.012902297148508182
SC2,SC3,0.2362081166572782,0.19998543116480028,0.733077435544671,0.3356187908222505,0.18277582510871293
SC3,SC3,0.4946561598981707,0.4588254578786964,0.7608273311378223,0.5428230766006334,0.0929126089553344
SC4,SC3,0.10919943989553915,0.03852615384615385,0.15074799169531927,0.09747508168782779,0.028583606150284158
SC5,SC3,0.3259450766872667,0.17703703375379,0.5415913619379624,0.324212528201142,0.09878579102848643
SC1,SC4,0.018186589617931688,0,0.03611600663769321,0.014356393380446489,0.011105043428478994
SC2,SC4,0.004542463781870734,0,0.010876963190750207,0.003414765199247527,0.0032411440710046675
SC3,SC4,0.14682877368735328,0,0.1729761229856463,0.124939606344848,0.044520952859733766
SC4,SC4,0.5758324366181298,0.5425294238046199,0.8792827124978947,0.6236174513448306,0.09461360140058139
SC5,SC4,0.09746144771575502,0.041843846153846155,0.133426636867852,0.08874928603976677,0.023151096775596538
SC1,SC5,0,0,0,0,0
SC2,SC5,0.004542463781870734,0,0.010116618843288853,0.003421794773061962,0.003164262941213058
SC3,SC5,0,0,0,0,0
SC4,SC5,0.15056169214327247,0,0.17345826249693191,0.11240880618284055,0.06635248968855753
SC5,SC5,0.8724562627433846,0.0015384615384615382,0.8869352891057243,0.6526083008578527,0.3773138206188852
