survey_yr,n,survival_rate,se,n_studies,mean_size
2005,183,0.9617486338797814,0.014178448802249449,1,6348.707213114756
2006,158,0.8924050632911392,0.024651785862783618,1,6704.701962025317
2007,244,0.930327868852459,0.016298688130968617,1,5842.034344262293
2008,236,0.9449152542372882,0.014851013853847074,1,6742.646144067792
2009,271,0.7933579335793358,0.024595706792899755,1,6727.354723247232
2010,227,0.9427312775330396,0.015421967268242492,1,4783.749251101323
2011,344,0.938953488372093,0.012908424669928451,1,4116.072906976746
2012,430,0.8813953488372093,0.015592006589942128,1,4031.074325581403
2013,368,0.9157608695652174,0.014478516631695318,1,3739.679402173917
2014,395,0.8886075949367088,0.01583012167664815,1,3330.4689873417706
2015,607,0.6902800658978583,0.01876734767052439,2,2372.6593492586517
2016,921,0.6590662323561346,0.015619593395941274,3,762.1439758352573
2017,164,0.7195121951219512,0.03507956080884013,1,3657.6835365853676
2018,130,0.7692307692307693,0.03695265087809703,1,3628.150692307694
2019,167,0.8323353293413174,0.028907578194574478,2,1605.8618263473063
2020,30,0.5333333333333333,0.09108400680852977,1,22.027083333333334
2021,76,0.8947368421052632,0.03520295021368098,3,156.46228289473686
2022,102,0.7352941176470589,0.04368297983720622,1,2570.9512745098036
2023,67,0.6417910447761194,0.05857706999053527,1,3544.992537313433
