Coral_ID,Site_ID,Length_cm,Width_cm,Prop_alive,,
540,PLW,7,5.5,1,,
541,PLW,5,3,1,,
542,PLW,5.5,4,1,,
543,PLW,4,3,1,,
544,PLW,7,4,1,,
545,PLW,4.5,4.5,1,,
546,PLW,4.5,4,1,,
547,PLW,5.5,3.5,1,,
548,PLW,5.5,5,1,,
549,PLW,8,5,0.75,,
555,PLW,3,3,1,,
558,PLW,4,4.5,1,,
520,PLS,4.75,4,1,,
521,PLS,5,5,1,,
522,PLS,6,5,1,,
523,PLS,7,4,1,,
524,PLS,4,2.5,1,,
525,PLS,5,2.5,1,,
526,PLS,4,2,1,,
527,PLS,6,4.5,1,,
528,PLS,5,4,1,,
529,PLS,5.5,3,1,,
550,PLS,5,4.5,1,,
551,PLS,4,3,1,,
530,SMK,4,3,1,,
531,SMK,6,4,1,,
532,SMK,5,4,1,,
533,SMK,4,4,1,,
534,SMK,3.5,3.25,1,,
535,SMK,4.5,3.5,1,,
536,SMK,4.75,2.5,1,,
537,SMK,5,3.5,1,,
538,SMK,4.5,2.25,1,,
539,SMK,4,3,1,,
500,CRK,4.5,4,1,,
501,CRK,3,5,1,,
502,CRK,4,3.5,1,,
503,CRK,4.5,3,1,,
504,CRK,4.5,4,1,,
505,CRK,5,3,1,,
506,CRK,5,3,1,,
507,CRK,4.5,3,1,,
508,CRK,5,4,1,,
509,CRK,4,3,1,,
510,FWY,4.5,3,1,,
511,FWY,4.5,4,1,,
512,FWY,4,3,1,,
513,FWY,3,3,1,,
514,FWY,5,4,1,,
515,FWY,4.5,4,1,,
516,FWY,7.5,3,1,,
518,FWY,3.75,3,1,,
519,FWY,5,3,1,,
999,FWY,,,,,
