Region,Reef,Plot,Latitude,Longitude,Depth(m),TotalSurveys,Q01-Spr 2004,Q02-Sum 2004,Q03-Fall 2004,Q04-Win 2005,Q05-Spr 2005,Q06-Sum 2005,Q07-Fall 2005,Q08-Win 2006,Q09-Spr 2006,Q10-Sum 2006,Q11-Fall 2006,Q13-Spr 2007,Q15-Fall 2007,Q16-Win 2007,Q17-Spr 2008,Q19-Fall 2008,Q20-Win 2008,Q21-Spr 2009,Q23-Fall 2009,Q24-Win 2009,Q25-Spr 2010,Q27-Fall 2010,Q28-Win 2010,Q29-Spr 2011,Q30-Sum 2011,Q31-Fall 2011,Q32-Win 2011,Q33-Spr 2012,Q34-Fall 2012,Q35-Win 2013,Q36-Spr 2013,Q37-Sum 2013,Q38-Fall 2013,Q39-Win 2014,Q40-Spr 2014,Q41-Sum 2014,Q42-Fall 2014,Q43-Win 2015,Q44-Spr 2015,Q45-Sum 2015,Q46-Fall 2015,Q47-Win 2016,Q48-Spr 2016,Q49-Sum 2016,Q50-Fall 2016,Q51-Win 2017,Q52-Spr 2017,Q53-Sum 2017,Q54-Fall 2017,Q55-Win 2018,Q56-Spr 2018,Q57-Sum 2018,Q58-Fall 2018,Q60-Spr 2019,Q61-Sum 2019,Q62-Fall 2019,Q64-Fall 2022,Q65-Sum 2023,Q66-Fall 2023,Q67-Win 2023,Q68-Sum2024
Florida Keys,Allan's Reef,AR1,25.164134,-80.277236,3.3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE,,,,BC,BC,
Florida Keys,Allan's Reef,AR2,25.164235,-80.277349,3.7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE,,,BC,BC,
Florida Keys,Carysfort Reef,CF1,25.22194,-80.21055,2.1,44,ADE,ADE,ABCDE,ADE,ABCDE,ABCDE,ADE,ADE,ABCDE,ADE,ADE,ABCDE,ADE,ADE,ABCDE,ADE,ADE,ABCDE,ADE,ADE,ABCDE,ADE,ADE,ABCDE,,ABCDE,ADE,ADE,ABCDE,ADE,ADE,,ABCDE,ADE,ADE,,ABCDE,ADE,ADE,,ABCDE,AD,ADE,,ABCDE,ADE,ADE,,ABCDE,,ADE,,,,,,,,,,
Florida Keys,Carysfort Reef,CF2,25.22179,-80.210586,2.4,39,ADE,ADE,ABCDE,ADE,ABCDE,ABCDE,ADE,ADE,ABCDE,ADE,ADE,ABCDE,ADE,ADE,ABCDE,ADE,ADE,ABCDE,ADE,ADE,ABCDE,ADE,ADE,ABCDE,,ABCDE,ADE,ADE,ABCDE,ADE,ADE,,ABCDE,ADE,ADE,,ABCDE,ADE,ADE,,ABCDE,AD,ADE,,,,,,,,,,,,,,,,,,
Florida Keys,Carysfort Reef,CF3,25.22289,-80.20956,3.7,50,ADE,ADE,ABCDE,ADE,ADE,ABCDE,ADE,ADE,ABCDE,ADE,ADE,ABCDE,ADE,ADE,ABCDE,ADE,ADE,ABCDE,ADE,ADE,ABCDE,ADE,ADE,ABCDE,,ABCDE,ADE,ADE,ABCDE,ADE,ADE,,ABCDE,ADE,ADE,,ABCDE,ADE,ADE,,ABCDE,AD,ADE,,ABCDE,ADE,DE,,ABCDE,,ADE,,ABCDE,ADE,,ABCDE,ABC,ABC,,ABC,
Florida Keys,Carysfort Reef,CF4,25.222871,-80.209996,4.6,24,,,,,,,,,,,,,,,,,,,,,ABCDE,ADE,ADE,ABCDE,,ABCDE,ADE,ADE,ABCDE,ADE,ADE,,ABCDE,ADE,ADE,,ABCDE,ADE,ADE,,ABCDE,AD,ADE,,ABCDE,ADE,ADE,,ABCDE,,ADE,,,,,,,,,,
Florida Keys,Carysfort Reef,CF5,25.223945,-80.209117,3.5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BC,,BC,
Florida Keys,Conch Reef,CO1,24.959709,-80.456135,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BC,,,,
Florida Keys,Conch Reef,CO2,24.959821,-80.456273,4.2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BC,,,,
Florida Keys,Conch Reef,CO3,24.960282,-80.457048,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BC,,,,
Florida Keys,Elbow Reef,EL1,25.142579,-80.258364,3.4,50,ADE,ADE,ABCDE,ADE,ABCDE,ABCDE,A,ADE,ABCDE,ADE,ADE,ABCDE,ADE,ADE,ABCDE,ADE,ADE,ABCDE,ADE,ADE,ABCDE,ADE,ADE,ABCDE,,ABCDE,ADE,ADE,ABCDE,ADE,ADE,,ABCDE,ADE,ADE,,ABCDE,ADE,ADE,,ABCDE,AD,ADE,,ABCDE,ADE,DE,,ABCDE,,ADE,,ABCDE,ADE,,ABCDE,ABC,,ABC,,B
Florida Keys,Elbow Reef,EL2,25.142899,-80.258221,3.4,50,ADE,ADE,ABCDE,ADE,ABCDE,ABCDE,AD,ADE,ABCDE,ADE,ADE,ABCDE,ADE,ADE,ABCDE,ADE,ADE,ABCDE,ADE,ADE,ABCDE,ADE,ADE,ABCDE,,ABCDE,ADE,ADE,ABCDE,ADE,ADE,,ABCDE,ADE,ADE,,ABCDE,ADE,ADE,,ABCDE,AD,ADE,,ABCDE,ADE,DE,,ABCDE,,ADE,,ABCDE,ADE,,ABCDE,ABC,,ABC,,ABC
